experiment_index,elapsed,label,experiment
1,979,1 - Transitive friends - step 3,default
2,22,1 - Transitive friends - step 3,default
3,22,1 - Transitive friends - step 3,default
4,12,1 - Transitive friends - step 3,default
5,29,1 - Transitive friends - step 3,default
6,4,1 - Transitive friends - step 3,default
7,4,1 - Transitive friends - step 3,default
8,5,1 - Transitive friends - step 3,default
9,33,1 - Transitive friends - step 3,default
10,7,1 - Transitive friends - step 3,default
11,7,1 - Transitive friends - step 3,default
12,7,1 - Transitive friends - step 3,default
13,31,1 - Transitive friends - step 3,default
14,7,1 - Transitive friends - step 3,default
15,6,1 - Transitive friends - step 3,default
16,6,1 - Transitive friends - step 3,default
1,904,1 - Transitive friends - step 3,1GB
2,21,1 - Transitive friends - step 3,1GB
3,14,1 - Transitive friends - step 3,1GB
4,15,1 - Transitive friends - step 3,1GB
5,33,1 - Transitive friends - step 3,1GB
6,5,1 - Transitive friends - step 3,1GB
7,4,1 - Transitive friends - step 3,1GB
8,4,1 - Transitive friends - step 3,1GB
9,31,1 - Transitive friends - step 3,1GB
10,8,1 - Transitive friends - step 3,1GB
11,8,1 - Transitive friends - step 3,1GB
12,9,1 - Transitive friends - step 3,1GB
13,28,1 - Transitive friends - step 3,1GB
14,7,1 - Transitive friends - step 3,1GB
15,7,1 - Transitive friends - step 3,1GB
16,6,1 - Transitive friends - step 3,1GB
1,947,1 - Transitive friends - step 3,2GB
2,20,1 - Transitive friends - step 3,2GB
3,20,1 - Transitive friends - step 3,2GB
4,20,1 - Transitive friends - step 3,2GB
5,30,1 - Transitive friends - step 3,2GB
6,5,1 - Transitive friends - step 3,2GB
7,4,1 - Transitive friends - step 3,2GB
8,4,1 - Transitive friends - step 3,2GB
9,31,1 - Transitive friends - step 3,2GB
10,8,1 - Transitive friends - step 3,2GB
11,7,1 - Transitive friends - step 3,2GB
12,8,1 - Transitive friends - step 3,2GB
13,32,1 - Transitive friends - step 3,2GB
14,8,1 - Transitive friends - step 3,2GB
15,8,1 - Transitive friends - step 3,2GB
16,6,1 - Transitive friends - step 3,2GB
1,938,1 - Transitive friends - step 3,4GB
2,19,1 - Transitive friends - step 3,4GB
3,13,1 - Transitive friends - step 3,4GB
4,15,1 - Transitive friends - step 3,4GB
5,30,1 - Transitive friends - step 3,4GB
6,5,1 - Transitive friends - step 3,4GB
7,4,1 - Transitive friends - step 3,4GB
8,5,1 - Transitive friends - step 3,4GB
9,32,1 - Transitive friends - step 3,4GB
10,8,1 - Transitive friends - step 3,4GB
11,7,1 - Transitive friends - step 3,4GB
12,10,1 - Transitive friends - step 3,4GB
13,72,1 - Transitive friends - step 3,4GB
14,10,1 - Transitive friends - step 3,4GB
15,14,1 - Transitive friends - step 3,4GB
16,8,1 - Transitive friends - step 3,4GB
1,938,1 - Transitive friends - step 3,8GB
2,20,1 - Transitive friends - step 3,8GB
3,21,1 - Transitive friends - step 3,8GB
4,14,1 - Transitive friends - step 3,8GB
5,32,1 - Transitive friends - step 3,8GB
6,4,1 - Transitive friends - step 3,8GB
7,4,1 - Transitive friends - step 3,8GB
8,4,1 - Transitive friends - step 3,8GB
9,30,1 - Transitive friends - step 3,8GB
10,9,1 - Transitive friends - step 3,8GB
11,8,1 - Transitive friends - step 3,8GB
12,9,1 - Transitive friends - step 3,8GB
13,30,1 - Transitive friends - step 3,8GB
14,8,1 - Transitive friends - step 3,8GB
15,7,1 - Transitive friends - step 3,8GB
16,7,1 - Transitive friends - step 3,8GB
