experiment_index,elapsed,label,experiment
1,697,4 - Friends and fof that have been to countries,default
2,236,4 - Friends and fof that have been to countries,default
3,208,4 - Friends and fof that have been to countries,default
4,220,4 - Friends and fof that have been to countries,default
5,160,4 - Friends and fof that have been to countries,default
6,117,4 - Friends and fof that have been to countries,default
7,111,4 - Friends and fof that have been to countries,default
8,117,4 - Friends and fof that have been to countries,default
9,233,4 - Friends and fof that have been to countries,default
10,189,4 - Friends and fof that have been to countries,default
11,160,4 - Friends and fof that have been to countries,default
12,154,4 - Friends and fof that have been to countries,default
13,74,4 - Friends and fof that have been to countries,default
14,39,4 - Friends and fof that have been to countries,default
15,35,4 - Friends and fof that have been to countries,default
16,38,4 - Friends and fof that have been to countries,default
1,685,4 - Friends and fof that have been to countries,1GB
2,247,4 - Friends and fof that have been to countries,1GB
3,204,4 - Friends and fof that have been to countries,1GB
4,213,4 - Friends and fof that have been to countries,1GB
5,161,4 - Friends and fof that have been to countries,1GB
6,119,4 - Friends and fof that have been to countries,1GB
7,125,4 - Friends and fof that have been to countries,1GB
8,121,4 - Friends and fof that have been to countries,1GB
9,231,4 - Friends and fof that have been to countries,1GB
10,167,4 - Friends and fof that have been to countries,1GB
11,160,4 - Friends and fof that have been to countries,1GB
12,172,4 - Friends and fof that have been to countries,1GB
13,79,4 - Friends and fof that have been to countries,1GB
14,50,4 - Friends and fof that have been to countries,1GB
15,42,4 - Friends and fof that have been to countries,1GB
16,39,4 - Friends and fof that have been to countries,1GB
1,668,4 - Friends and fof that have been to countries,2GB
2,238,4 - Friends and fof that have been to countries,2GB
3,210,4 - Friends and fof that have been to countries,2GB
4,222,4 - Friends and fof that have been to countries,2GB
5,160,4 - Friends and fof that have been to countries,2GB
6,125,4 - Friends and fof that have been to countries,2GB
7,120,4 - Friends and fof that have been to countries,2GB
8,130,4 - Friends and fof that have been to countries,2GB
9,215,4 - Friends and fof that have been to countries,2GB
10,166,4 - Friends and fof that have been to countries,2GB
11,172,4 - Friends and fof that have been to countries,2GB
12,178,4 - Friends and fof that have been to countries,2GB
13,76,4 - Friends and fof that have been to countries,2GB
14,49,4 - Friends and fof that have been to countries,2GB
15,40,4 - Friends and fof that have been to countries,2GB
16,36,4 - Friends and fof that have been to countries,2GB
1,690,4 - Friends and fof that have been to countries,4GB
2,227,4 - Friends and fof that have been to countries,4GB
3,203,4 - Friends and fof that have been to countries,4GB
4,201,4 - Friends and fof that have been to countries,4GB
5,162,4 - Friends and fof that have been to countries,4GB
6,126,4 - Friends and fof that have been to countries,4GB
7,155,4 - Friends and fof that have been to countries,4GB
8,114,4 - Friends and fof that have been to countries,4GB
9,207,4 - Friends and fof that have been to countries,4GB
10,209,4 - Friends and fof that have been to countries,4GB
11,168,4 - Friends and fof that have been to countries,4GB
12,163,4 - Friends and fof that have been to countries,4GB
13,74,4 - Friends and fof that have been to countries,4GB
14,45,4 - Friends and fof that have been to countries,4GB
15,36,4 - Friends and fof that have been to countries,4GB
16,36,4 - Friends and fof that have been to countries,4GB
1,702,4 - Friends and fof that have been to countries,8GB
2,244,4 - Friends and fof that have been to countries,8GB
3,205,4 - Friends and fof that have been to countries,8GB
4,206,4 - Friends and fof that have been to countries,8GB
5,167,4 - Friends and fof that have been to countries,8GB
6,136,4 - Friends and fof that have been to countries,8GB
7,131,4 - Friends and fof that have been to countries,8GB
8,124,4 - Friends and fof that have been to countries,8GB
9,210,4 - Friends and fof that have been to countries,8GB
10,167,4 - Friends and fof that have been to countries,8GB
11,173,4 - Friends and fof that have been to countries,8GB
12,176,4 - Friends and fof that have been to countries,8GB
13,74,4 - Friends and fof that have been to countries,8GB
14,46,4 - Friends and fof that have been to countries,8GB
15,38,4 - Friends and fof that have been to countries,8GB
16,38,4 - Friends and fof that have been to countries,8GB
