experiment_index,elapsed,label,experiment
1,151,6.1 - K shortest paths,default
2,33,6.1 - K shortest paths,default
3,25,6.1 - K shortest paths,default
4,24,6.1 - K shortest paths,default
5,31,6.1 - K shortest paths,default
6,21,6.1 - K shortest paths,default
7,18,6.1 - K shortest paths,default
8,20,6.1 - K shortest paths,default
9,61,6.1 - K shortest paths,default
10,57,6.1 - K shortest paths,default
11,53,6.1 - K shortest paths,default
12,54,6.1 - K shortest paths,default
13,62,6.1 - K shortest paths,default
14,52,6.1 - K shortest paths,default
15,51,6.1 - K shortest paths,default
16,50,6.1 - K shortest paths,default
1,155,6.1 - K shortest paths,1GB
2,30,6.1 - K shortest paths,1GB
3,23,6.1 - K shortest paths,1GB
4,24,6.1 - K shortest paths,1GB
5,33,6.1 - K shortest paths,1GB
6,22,6.1 - K shortest paths,1GB
7,21,6.1 - K shortest paths,1GB
8,25,6.1 - K shortest paths,1GB
9,60,6.1 - K shortest paths,1GB
10,55,6.1 - K shortest paths,1GB
11,54,6.1 - K shortest paths,1GB
12,52,6.1 - K shortest paths,1GB
13,62,6.1 - K shortest paths,1GB
14,52,6.1 - K shortest paths,1GB
15,52,6.1 - K shortest paths,1GB
16,51,6.1 - K shortest paths,1GB
1,161,6.1 - K shortest paths,2GB
2,31,6.1 - K shortest paths,2GB
3,26,6.1 - K shortest paths,2GB
4,24,6.1 - K shortest paths,2GB
5,31,6.1 - K shortest paths,2GB
6,20,6.1 - K shortest paths,2GB
7,19,6.1 - K shortest paths,2GB
8,20,6.1 - K shortest paths,2GB
9,62,6.1 - K shortest paths,2GB
10,54,6.1 - K shortest paths,2GB
11,55,6.1 - K shortest paths,2GB
12,52,6.1 - K shortest paths,2GB
13,62,6.1 - K shortest paths,2GB
14,51,6.1 - K shortest paths,2GB
15,55,6.1 - K shortest paths,2GB
16,51,6.1 - K shortest paths,2GB
1,163,6.1 - K shortest paths,4GB
2,26,6.1 - K shortest paths,4GB
3,25,6.1 - K shortest paths,4GB
4,23,6.1 - K shortest paths,4GB
5,31,6.1 - K shortest paths,4GB
6,21,6.1 - K shortest paths,4GB
7,21,6.1 - K shortest paths,4GB
8,21,6.1 - K shortest paths,4GB
9,61,6.1 - K shortest paths,4GB
10,54,6.1 - K shortest paths,4GB
11,51,6.1 - K shortest paths,4GB
12,54,6.1 - K shortest paths,4GB
13,59,6.1 - K shortest paths,4GB
14,52,6.1 - K shortest paths,4GB
15,52,6.1 - K shortest paths,4GB
16,53,6.1 - K shortest paths,4GB
1,161,6.1 - K shortest paths,8GB
2,30,6.1 - K shortest paths,8GB
3,24,6.1 - K shortest paths,8GB
4,25,6.1 - K shortest paths,8GB
5,32,6.1 - K shortest paths,8GB
6,20,6.1 - K shortest paths,8GB
7,22,6.1 - K shortest paths,8GB
8,20,6.1 - K shortest paths,8GB
9,61,6.1 - K shortest paths,8GB
10,55,6.1 - K shortest paths,8GB
11,52,6.1 - K shortest paths,8GB
12,53,6.1 - K shortest paths,8GB
13,62,6.1 - K shortest paths,8GB
14,51,6.1 - K shortest paths,8GB
15,49,6.1 - K shortest paths,8GB
16,49,6.1 - K shortest paths,8GB
