experiment_index,elapsed,label,experiment
1,82,8 - Recent messages by your friends,default
2,26,8 - Recent messages by your friends,default
3,25,8 - Recent messages by your friends,default
4,15,8 - Recent messages by your friends,default
5,25,8 - Recent messages by your friends,default
6,13,8 - Recent messages by your friends,default
7,9,8 - Recent messages by your friends,default
8,9,8 - Recent messages by your friends,default
9,52,8 - Recent messages by your friends,default
10,38,8 - Recent messages by your friends,default
11,32,8 - Recent messages by your friends,default
12,30,8 - Recent messages by your friends,default
13,12,8 - Recent messages by your friends,default
14,5,8 - Recent messages by your friends,default
15,2,8 - Recent messages by your friends,default
16,3,8 - Recent messages by your friends,default
1,76,8 - Recent messages by your friends,1GB
2,26,8 - Recent messages by your friends,1GB
3,23,8 - Recent messages by your friends,1GB
4,12,8 - Recent messages by your friends,1GB
5,24,8 - Recent messages by your friends,1GB
6,14,8 - Recent messages by your friends,1GB
7,13,8 - Recent messages by your friends,1GB
8,12,8 - Recent messages by your friends,1GB
9,49,8 - Recent messages by your friends,1GB
10,33,8 - Recent messages by your friends,1GB
11,33,8 - Recent messages by your friends,1GB
12,30,8 - Recent messages by your friends,1GB
13,12,8 - Recent messages by your friends,1GB
14,13,8 - Recent messages by your friends,1GB
15,3,8 - Recent messages by your friends,1GB
16,2,8 - Recent messages by your friends,1GB
1,79,8 - Recent messages by your friends,2GB
2,26,8 - Recent messages by your friends,2GB
3,24,8 - Recent messages by your friends,2GB
4,29,8 - Recent messages by your friends,2GB
5,44,8 - Recent messages by your friends,2GB
6,22,8 - Recent messages by your friends,2GB
7,16,8 - Recent messages by your friends,2GB
8,12,8 - Recent messages by your friends,2GB
9,55,8 - Recent messages by your friends,2GB
10,37,8 - Recent messages by your friends,2GB
11,33,8 - Recent messages by your friends,2GB
12,50,8 - Recent messages by your friends,2GB
13,14,8 - Recent messages by your friends,2GB
14,5,8 - Recent messages by your friends,2GB
15,3,8 - Recent messages by your friends,2GB
16,3,8 - Recent messages by your friends,2GB
1,83,8 - Recent messages by your friends,4GB
2,29,8 - Recent messages by your friends,4GB
3,27,8 - Recent messages by your friends,4GB
4,14,8 - Recent messages by your friends,4GB
5,25,8 - Recent messages by your friends,4GB
6,11,8 - Recent messages by your friends,4GB
7,11,8 - Recent messages by your friends,4GB
8,10,8 - Recent messages by your friends,4GB
9,50,8 - Recent messages by your friends,4GB
10,38,8 - Recent messages by your friends,4GB
11,35,8 - Recent messages by your friends,4GB
12,52,8 - Recent messages by your friends,4GB
13,12,8 - Recent messages by your friends,4GB
14,5,8 - Recent messages by your friends,4GB
15,2,8 - Recent messages by your friends,4GB
16,3,8 - Recent messages by your friends,4GB
1,113,8 - Recent messages by your friends,8GB
2,30,8 - Recent messages by your friends,8GB
3,26,8 - Recent messages by your friends,8GB
4,16,8 - Recent messages by your friends,8GB
5,29,8 - Recent messages by your friends,8GB
6,15,8 - Recent messages by your friends,8GB
7,14,8 - Recent messages by your friends,8GB
8,11,8 - Recent messages by your friends,8GB
9,50,8 - Recent messages by your friends,8GB
10,35,8 - Recent messages by your friends,8GB
11,32,8 - Recent messages by your friends,8GB
12,35,8 - Recent messages by your friends,8GB
13,12,8 - Recent messages by your friends,8GB
14,6,8 - Recent messages by your friends,8GB
15,3,8 - Recent messages by your friends,8GB
16,3,8 - Recent messages by your friends,8GB
