experiment_index,elapsed,label,experiment
1,381,9 - Friends recommendation,default
2,73,9 - Friends recommendation,default
3,60,9 - Friends recommendation,default
4,55,9 - Friends recommendation,default
5,44,9 - Friends recommendation,default
6,22,9 - Friends recommendation,default
7,25,9 - Friends recommendation,default
8,20,9 - Friends recommendation,default
9,24,9 - Friends recommendation,default
10,6,9 - Friends recommendation,default
11,6,9 - Friends recommendation,default
12,5,9 - Friends recommendation,default
13,41,9 - Friends recommendation,default
14,20,9 - Friends recommendation,default
15,15,9 - Friends recommendation,default
16,15,9 - Friends recommendation,default
1,351,9 - Friends recommendation,1GB
2,69,9 - Friends recommendation,1GB
3,67,9 - Friends recommendation,1GB
4,61,9 - Friends recommendation,1GB
5,40,9 - Friends recommendation,1GB
6,15,9 - Friends recommendation,1GB
7,16,9 - Friends recommendation,1GB
8,12,9 - Friends recommendation,1GB
9,26,9 - Friends recommendation,1GB
10,5,9 - Friends recommendation,1GB
11,6,9 - Friends recommendation,1GB
12,5,9 - Friends recommendation,1GB
13,33,9 - Friends recommendation,1GB
14,15,9 - Friends recommendation,1GB
15,13,9 - Friends recommendation,1GB
16,14,9 - Friends recommendation,1GB
1,352,9 - Friends recommendation,2GB
2,75,9 - Friends recommendation,2GB
3,64,9 - Friends recommendation,2GB
4,60,9 - Friends recommendation,2GB
5,40,9 - Friends recommendation,2GB
6,19,9 - Friends recommendation,2GB
7,16,9 - Friends recommendation,2GB
8,14,9 - Friends recommendation,2GB
9,26,9 - Friends recommendation,2GB
10,6,9 - Friends recommendation,2GB
11,5,9 - Friends recommendation,2GB
12,6,9 - Friends recommendation,2GB
13,36,9 - Friends recommendation,2GB
14,15,9 - Friends recommendation,2GB
15,14,9 - Friends recommendation,2GB
16,14,9 - Friends recommendation,2GB
1,334,9 - Friends recommendation,4GB
2,78,9 - Friends recommendation,4GB
3,63,9 - Friends recommendation,4GB
4,58,9 - Friends recommendation,4GB
5,39,9 - Friends recommendation,4GB
6,15,9 - Friends recommendation,4GB
7,14,9 - Friends recommendation,4GB
8,14,9 - Friends recommendation,4GB
9,25,9 - Friends recommendation,4GB
10,6,9 - Friends recommendation,4GB
11,5,9 - Friends recommendation,4GB
12,5,9 - Friends recommendation,4GB
13,34,9 - Friends recommendation,4GB
14,14,9 - Friends recommendation,4GB
15,15,9 - Friends recommendation,4GB
16,14,9 - Friends recommendation,4GB
1,374,9 - Friends recommendation,8GB
2,73,9 - Friends recommendation,8GB
3,63,9 - Friends recommendation,8GB
4,64,9 - Friends recommendation,8GB
5,41,9 - Friends recommendation,8GB
6,18,9 - Friends recommendation,8GB
7,15,9 - Friends recommendation,8GB
8,14,9 - Friends recommendation,8GB
9,27,9 - Friends recommendation,8GB
10,6,9 - Friends recommendation,8GB
11,6,9 - Friends recommendation,8GB
12,6,9 - Friends recommendation,8GB
13,36,9 - Friends recommendation,8GB
14,16,9 - Friends recommendation,8GB
15,15,9 - Friends recommendation,8GB
16,14,9 - Friends recommendation,8GB
