experiment_index,elapsed,label,experiment
1,98,8 - Recent messages by your friends,default
2,20,8 - Recent messages by your friends,default
3,19,8 - Recent messages by your friends,default
4,13,8 - Recent messages by your friends,default
5,55,8 - Recent messages by your friends,default
6,14,8 - Recent messages by your friends,default
7,10,8 - Recent messages by your friends,default
8,8,8 - Recent messages by your friends,default
9,50,8 - Recent messages by your friends,default
10,13,8 - Recent messages by your friends,default
11,11,8 - Recent messages by your friends,default
12,12,8 - Recent messages by your friends,default
13,61,8 - Recent messages by your friends,default
14,22,8 - Recent messages by your friends,default
15,19,8 - Recent messages by your friends,default
16,19,8 - Recent messages by your friends,default
1,90,8 - Recent messages by your friends,1GB
2,19,8 - Recent messages by your friends,1GB
3,16,8 - Recent messages by your friends,1GB
4,13,8 - Recent messages by your friends,1GB
5,22,8 - Recent messages by your friends,1GB
6,11,8 - Recent messages by your friends,1GB
7,8,8 - Recent messages by your friends,1GB
8,8,8 - Recent messages by your friends,1GB
9,21,8 - Recent messages by your friends,1GB
10,13,8 - Recent messages by your friends,1GB
11,11,8 - Recent messages by your friends,1GB
12,11,8 - Recent messages by your friends,1GB
13,30,8 - Recent messages by your friends,1GB
14,22,8 - Recent messages by your friends,1GB
15,19,8 - Recent messages by your friends,1GB
16,17,8 - Recent messages by your friends,1GB
1,64,8 - Recent messages by your friends,2GB
2,14,8 - Recent messages by your friends,2GB
3,13,8 - Recent messages by your friends,2GB
4,12,8 - Recent messages by your friends,2GB
5,21,8 - Recent messages by your friends,2GB
6,9,8 - Recent messages by your friends,2GB
7,6,8 - Recent messages by your friends,2GB
8,6,8 - Recent messages by your friends,2GB
9,20,8 - Recent messages by your friends,2GB
10,15,8 - Recent messages by your friends,2GB
11,10,8 - Recent messages by your friends,2GB
12,8,8 - Recent messages by your friends,2GB
13,29,8 - Recent messages by your friends,2GB
14,22,8 - Recent messages by your friends,2GB
15,20,8 - Recent messages by your friends,2GB
16,19,8 - Recent messages by your friends,2GB
1,68,8 - Recent messages by your friends,4GB
2,13,8 - Recent messages by your friends,4GB
3,12,8 - Recent messages by your friends,4GB
4,12,8 - Recent messages by your friends,4GB
5,22,8 - Recent messages by your friends,4GB
6,9,8 - Recent messages by your friends,4GB
7,6,8 - Recent messages by your friends,4GB
8,5,8 - Recent messages by your friends,4GB
9,20,8 - Recent messages by your friends,4GB
10,9,8 - Recent messages by your friends,4GB
11,7,8 - Recent messages by your friends,4GB
12,9,8 - Recent messages by your friends,4GB
13,26,8 - Recent messages by your friends,4GB
14,19,8 - Recent messages by your friends,4GB
15,14,8 - Recent messages by your friends,4GB
16,12,8 - Recent messages by your friends,4GB
1,70,8 - Recent messages by your friends,8GB
2,17,8 - Recent messages by your friends,8GB
3,14,8 - Recent messages by your friends,8GB
4,13,8 - Recent messages by your friends,8GB
5,23,8 - Recent messages by your friends,8GB
6,10,8 - Recent messages by your friends,8GB
7,6,8 - Recent messages by your friends,8GB
8,6,8 - Recent messages by your friends,8GB
9,20,8 - Recent messages by your friends,8GB
10,11,8 - Recent messages by your friends,8GB
11,9,8 - Recent messages by your friends,8GB
12,11,8 - Recent messages by your friends,8GB
13,30,8 - Recent messages by your friends,8GB
14,22,8 - Recent messages by your friends,8GB
15,20,8 - Recent messages by your friends,8GB
16,17,8 - Recent messages by your friends,8GB
