experiment_index,elapsed,label,experiment
1,148,3 - Transitive friends - step 5,default
2,36,3 - Transitive friends - step 5,default
3,34,3 - Transitive friends - step 5,default
4,32,3 - Transitive friends - step 5,default
5,95,3 - Transitive friends - step 5,default
6,28,3 - Transitive friends - step 5,default
7,25,3 - Transitive friends - step 5,default
8,21,3 - Transitive friends - step 5,default
9,49,3 - Transitive friends - step 5,default
10,33,3 - Transitive friends - step 5,default
11,33,3 - Transitive friends - step 5,default
12,36,3 - Transitive friends - step 5,default
13,37,3 - Transitive friends - step 5,default
14,21,3 - Transitive friends - step 5,default
15,19,3 - Transitive friends - step 5,default
16,17,3 - Transitive friends - step 5,default
1,144,3 - Transitive friends - step 5,1GB
2,35,3 - Transitive friends - step 5,1GB
3,33,3 - Transitive friends - step 5,1GB
4,29,3 - Transitive friends - step 5,1GB
5,96,3 - Transitive friends - step 5,1GB
6,23,3 - Transitive friends - step 5,1GB
7,27,3 - Transitive friends - step 5,1GB
8,23,3 - Transitive friends - step 5,1GB
9,53,3 - Transitive friends - step 5,1GB
10,36,3 - Transitive friends - step 5,1GB
11,33,3 - Transitive friends - step 5,1GB
12,30,3 - Transitive friends - step 5,1GB
13,41,3 - Transitive friends - step 5,1GB
14,20,3 - Transitive friends - step 5,1GB
15,19,3 - Transitive friends - step 5,1GB
16,17,3 - Transitive friends - step 5,1GB
1,135,3 - Transitive friends - step 5,2GB
2,36,3 - Transitive friends - step 5,2GB
3,39,3 - Transitive friends - step 5,2GB
4,32,3 - Transitive friends - step 5,2GB
5,95,3 - Transitive friends - step 5,2GB
6,23,3 - Transitive friends - step 5,2GB
7,22,3 - Transitive friends - step 5,2GB
8,21,3 - Transitive friends - step 5,2GB
9,50,3 - Transitive friends - step 5,2GB
10,43,3 - Transitive friends - step 5,2GB
11,37,3 - Transitive friends - step 5,2GB
12,32,3 - Transitive friends - step 5,2GB
13,36,3 - Transitive friends - step 5,2GB
14,19,3 - Transitive friends - step 5,2GB
15,18,3 - Transitive friends - step 5,2GB
16,18,3 - Transitive friends - step 5,2GB
1,142,3 - Transitive friends - step 5,4GB
2,41,3 - Transitive friends - step 5,4GB
3,35,3 - Transitive friends - step 5,4GB
4,36,3 - Transitive friends - step 5,4GB
5,101,3 - Transitive friends - step 5,4GB
6,25,3 - Transitive friends - step 5,4GB
7,28,3 - Transitive friends - step 5,4GB
8,24,3 - Transitive friends - step 5,4GB
9,55,3 - Transitive friends - step 5,4GB
10,33,3 - Transitive friends - step 5,4GB
11,35,3 - Transitive friends - step 5,4GB
12,35,3 - Transitive friends - step 5,4GB
13,37,3 - Transitive friends - step 5,4GB
14,20,3 - Transitive friends - step 5,4GB
15,22,3 - Transitive friends - step 5,4GB
16,20,3 - Transitive friends - step 5,4GB
1,142,3 - Transitive friends - step 5,8GB
2,39,3 - Transitive friends - step 5,8GB
3,38,3 - Transitive friends - step 5,8GB
4,33,3 - Transitive friends - step 5,8GB
5,99,3 - Transitive friends - step 5,8GB
6,25,3 - Transitive friends - step 5,8GB
7,22,3 - Transitive friends - step 5,8GB
8,22,3 - Transitive friends - step 5,8GB
9,52,3 - Transitive friends - step 5,8GB
10,35,3 - Transitive friends - step 5,8GB
11,36,3 - Transitive friends - step 5,8GB
12,34,3 - Transitive friends - step 5,8GB
13,38,3 - Transitive friends - step 5,8GB
14,20,3 - Transitive friends - step 5,8GB
15,20,3 - Transitive friends - step 5,8GB
16,22,3 - Transitive friends - step 5,8GB
