experiment_index,elapsed,label,experiment
1,27191,4 - Friends and fof that have been to countries,default
2,8193,4 - Friends and fof that have been to countries,default
3,8131,4 - Friends and fof that have been to countries,default
4,8092,4 - Friends and fof that have been to countries,default
5,7470,4 - Friends and fof that have been to countries,default
6,6354,4 - Friends and fof that have been to countries,default
7,6295,4 - Friends and fof that have been to countries,default
8,6347,4 - Friends and fof that have been to countries,default
9,1148,4 - Friends and fof that have been to countries,default
10,1014,4 - Friends and fof that have been to countries,default
11,1014,4 - Friends and fof that have been to countries,default
12,1019,4 - Friends and fof that have been to countries,default
13,2848,4 - Friends and fof that have been to countries,default
14,2305,4 - Friends and fof that have been to countries,default
15,2290,4 - Friends and fof that have been to countries,default
16,2294,4 - Friends and fof that have been to countries,default
1,5297,4 - Friends and fof that have been to countries,1GB
2,4355,4 - Friends and fof that have been to countries,1GB
3,4266,4 - Friends and fof that have been to countries,1GB
4,4281,4 - Friends and fof that have been to countries,1GB
5,3556,4 - Friends and fof that have been to countries,1GB
6,3565,4 - Friends and fof that have been to countries,1GB
7,3514,4 - Friends and fof that have been to countries,1GB
8,3489,4 - Friends and fof that have been to countries,1GB
9,553,4 - Friends and fof that have been to countries,1GB
10,369,4 - Friends and fof that have been to countries,1GB
11,346,4 - Friends and fof that have been to countries,1GB
12,347,4 - Friends and fof that have been to countries,1GB
13,1387,4 - Friends and fof that have been to countries,1GB
14,1338,4 - Friends and fof that have been to countries,1GB
15,1329,4 - Friends and fof that have been to countries,1GB
16,1310,4 - Friends and fof that have been to countries,1GB
1,2730,4 - Friends and fof that have been to countries,2GB
2,1534,4 - Friends and fof that have been to countries,2GB
3,1479,4 - Friends and fof that have been to countries,2GB
4,1437,4 - Friends and fof that have been to countries,2GB
5,1176,4 - Friends and fof that have been to countries,2GB
6,1056,4 - Friends and fof that have been to countries,2GB
7,1053,4 - Friends and fof that have been to countries,2GB
8,1081,4 - Friends and fof that have been to countries,2GB
9,212,4 - Friends and fof that have been to countries,2GB
10,178,4 - Friends and fof that have been to countries,2GB
11,185,4 - Friends and fof that have been to countries,2GB
12,193,4 - Friends and fof that have been to countries,2GB
13,421,4 - Friends and fof that have been to countries,2GB
14,358,4 - Friends and fof that have been to countries,2GB
15,378,4 - Friends and fof that have been to countries,2GB
16,358,4 - Friends and fof that have been to countries,2GB
1,2063,4 - Friends and fof that have been to countries,4GB
2,1507,4 - Friends and fof that have been to countries,4GB
3,1463,4 - Friends and fof that have been to countries,4GB
4,1432,4 - Friends and fof that have been to countries,4GB
5,1072,4 - Friends and fof that have been to countries,4GB
6,1052,4 - Friends and fof that have been to countries,4GB
7,1038,4 - Friends and fof that have been to countries,4GB
8,1054,4 - Friends and fof that have been to countries,4GB
9,217,4 - Friends and fof that have been to countries,4GB
10,197,4 - Friends and fof that have been to countries,4GB
11,194,4 - Friends and fof that have been to countries,4GB
12,171,4 - Friends and fof that have been to countries,4GB
13,385,4 - Friends and fof that have been to countries,4GB
14,396,4 - Friends and fof that have been to countries,4GB
15,344,4 - Friends and fof that have been to countries,4GB
16,349,4 - Friends and fof that have been to countries,4GB
1,1966,4 - Friends and fof that have been to countries,8GB
2,1479,4 - Friends and fof that have been to countries,8GB
3,1456,4 - Friends and fof that have been to countries,8GB
4,1421,4 - Friends and fof that have been to countries,8GB
5,1073,4 - Friends and fof that have been to countries,8GB
6,1069,4 - Friends and fof that have been to countries,8GB
7,1049,4 - Friends and fof that have been to countries,8GB
8,1080,4 - Friends and fof that have been to countries,8GB
9,220,4 - Friends and fof that have been to countries,8GB
10,189,4 - Friends and fof that have been to countries,8GB
11,196,4 - Friends and fof that have been to countries,8GB
12,167,4 - Friends and fof that have been to countries,8GB
13,380,4 - Friends and fof that have been to countries,8GB
14,371,4 - Friends and fof that have been to countries,8GB
15,357,4 - Friends and fof that have been to countries,8GB
16,345,4 - Friends and fof that have been to countries,8GB
