experiment_index,elapsed,label,experiment
1,275,5 - Shortest path,default
2,4,5 - Shortest path,default
3,3,5 - Shortest path,default
4,3,5 - Shortest path,default
5,12,5 - Shortest path,default
6,3,5 - Shortest path,default
7,2,5 - Shortest path,default
8,2,5 - Shortest path,default
9,8,5 - Shortest path,default
10,2,5 - Shortest path,default
11,2,5 - Shortest path,default
12,2,5 - Shortest path,default
13,9,5 - Shortest path,default
14,3,5 - Shortest path,default
15,2,5 - Shortest path,default
16,2,5 - Shortest path,default
1,311,5 - Shortest path,1GB
2,4,5 - Shortest path,1GB
3,2,5 - Shortest path,1GB
4,2,5 - Shortest path,1GB
5,10,5 - Shortest path,1GB
6,2,5 - Shortest path,1GB
7,3,5 - Shortest path,1GB
8,2,5 - Shortest path,1GB
9,8,5 - Shortest path,1GB
10,2,5 - Shortest path,1GB
11,2,5 - Shortest path,1GB
12,2,5 - Shortest path,1GB
13,8,5 - Shortest path,1GB
14,2,5 - Shortest path,1GB
15,2,5 - Shortest path,1GB
16,1,5 - Shortest path,1GB
1,91,5 - Shortest path,2GB
2,3,5 - Shortest path,2GB
3,2,5 - Shortest path,2GB
4,2,5 - Shortest path,2GB
5,7,5 - Shortest path,2GB
6,1,5 - Shortest path,2GB
7,2,5 - Shortest path,2GB
8,2,5 - Shortest path,2GB
9,7,5 - Shortest path,2GB
10,3,5 - Shortest path,2GB
11,2,5 - Shortest path,2GB
12,2,5 - Shortest path,2GB
13,7,5 - Shortest path,2GB
14,2,5 - Shortest path,2GB
15,2,5 - Shortest path,2GB
16,2,5 - Shortest path,2GB
1,94,5 - Shortest path,4GB
2,3,5 - Shortest path,4GB
3,3,5 - Shortest path,4GB
4,1,5 - Shortest path,4GB
5,8,5 - Shortest path,4GB
6,2,5 - Shortest path,4GB
7,2,5 - Shortest path,4GB
8,2,5 - Shortest path,4GB
9,6,5 - Shortest path,4GB
10,2,5 - Shortest path,4GB
11,2,5 - Shortest path,4GB
12,2,5 - Shortest path,4GB
13,6,5 - Shortest path,4GB
14,2,5 - Shortest path,4GB
15,2,5 - Shortest path,4GB
16,1,5 - Shortest path,4GB
1,90,5 - Shortest path,8GB
2,3,5 - Shortest path,8GB
3,2,5 - Shortest path,8GB
4,3,5 - Shortest path,8GB
5,8,5 - Shortest path,8GB
6,3,5 - Shortest path,8GB
7,2,5 - Shortest path,8GB
8,2,5 - Shortest path,8GB
9,7,5 - Shortest path,8GB
10,2,5 - Shortest path,8GB
11,2,5 - Shortest path,8GB
12,2,5 - Shortest path,8GB
13,7,5 - Shortest path,8GB
14,2,5 - Shortest path,8GB
15,2,5 - Shortest path,8GB
16,2,5 - Shortest path,8GB
