experiment_index,elapsed,label,experiment
1,352,6.1 - K shortest paths,default
2,61,6.1 - K shortest paths,default
3,42,6.1 - K shortest paths,default
4,42,6.1 - K shortest paths,default
5,71,6.1 - K shortest paths,default
6,70,6.1 - K shortest paths,default
7,61,6.1 - K shortest paths,default
8,61,6.1 - K shortest paths,default
9,63,6.1 - K shortest paths,default
10,41,6.1 - K shortest paths,default
11,41,6.1 - K shortest paths,default
12,41,6.1 - K shortest paths,default
13,62,6.1 - K shortest paths,default
14,45,6.1 - K shortest paths,default
15,45,6.1 - K shortest paths,default
16,45,6.1 - K shortest paths,default
1,496,6.1 - K shortest paths,1GB
2,57,6.1 - K shortest paths,1GB
3,55,6.1 - K shortest paths,1GB
4,39,6.1 - K shortest paths,1GB
5,67,6.1 - K shortest paths,1GB
6,72,6.1 - K shortest paths,1GB
7,65,6.1 - K shortest paths,1GB
8,62,6.1 - K shortest paths,1GB
9,49,6.1 - K shortest paths,1GB
10,42,6.1 - K shortest paths,1GB
11,39,6.1 - K shortest paths,1GB
12,39,6.1 - K shortest paths,1GB
13,57,6.1 - K shortest paths,1GB
14,44,6.1 - K shortest paths,1GB
15,44,6.1 - K shortest paths,1GB
16,44,6.1 - K shortest paths,1GB
1,335,6.1 - K shortest paths,2GB
2,56,6.1 - K shortest paths,2GB
3,50,6.1 - K shortest paths,2GB
4,48,6.1 - K shortest paths,2GB
5,83,6.1 - K shortest paths,2GB
6,77,6.1 - K shortest paths,2GB
7,68,6.1 - K shortest paths,2GB
8,71,6.1 - K shortest paths,2GB
9,158,6.1 - K shortest paths,2GB
10,44,6.1 - K shortest paths,2GB
11,42,6.1 - K shortest paths,2GB
12,43,6.1 - K shortest paths,2GB
13,58,6.1 - K shortest paths,2GB
14,45,6.1 - K shortest paths,2GB
15,46,6.1 - K shortest paths,2GB
16,48,6.1 - K shortest paths,2GB
1,358,6.1 - K shortest paths,4GB
2,54,6.1 - K shortest paths,4GB
3,42,6.1 - K shortest paths,4GB
4,38,6.1 - K shortest paths,4GB
5,76,6.1 - K shortest paths,4GB
6,70,6.1 - K shortest paths,4GB
7,59,6.1 - K shortest paths,4GB
8,62,6.1 - K shortest paths,4GB
9,49,6.1 - K shortest paths,4GB
10,42,6.1 - K shortest paths,4GB
11,38,6.1 - K shortest paths,4GB
12,40,6.1 - K shortest paths,4GB
13,57,6.1 - K shortest paths,4GB
14,43,6.1 - K shortest paths,4GB
15,45,6.1 - K shortest paths,4GB
16,45,6.1 - K shortest paths,4GB
1,342,6.1 - K shortest paths,8GB
2,54,6.1 - K shortest paths,8GB
3,42,6.1 - K shortest paths,8GB
4,41,6.1 - K shortest paths,8GB
5,71,6.1 - K shortest paths,8GB
6,62,6.1 - K shortest paths,8GB
7,59,6.1 - K shortest paths,8GB
8,65,6.1 - K shortest paths,8GB
9,50,6.1 - K shortest paths,8GB
10,42,6.1 - K shortest paths,8GB
11,44,6.1 - K shortest paths,8GB
12,41,6.1 - K shortest paths,8GB
13,54,6.1 - K shortest paths,8GB
14,46,6.1 - K shortest paths,8GB
15,44,6.1 - K shortest paths,8GB
16,47,6.1 - K shortest paths,8GB
