experiment_index,elapsed,label,experiment
1,161,7 - Forum of a message,default
2,4,7 - Forum of a message,default
3,3,7 - Forum of a message,default
4,2,7 - Forum of a message,default
5,12,7 - Forum of a message,default
6,3,7 - Forum of a message,default
7,2,7 - Forum of a message,default
8,2,7 - Forum of a message,default
9,11,7 - Forum of a message,default
10,2,7 - Forum of a message,default
11,2,7 - Forum of a message,default
12,2,7 - Forum of a message,default
13,11,7 - Forum of a message,default
14,2,7 - Forum of a message,default
15,2,7 - Forum of a message,default
16,2,7 - Forum of a message,default
1,143,7 - Forum of a message,1GB
2,4,7 - Forum of a message,1GB
3,3,7 - Forum of a message,1GB
4,3,7 - Forum of a message,1GB
5,19,7 - Forum of a message,1GB
6,3,7 - Forum of a message,1GB
7,2,7 - Forum of a message,1GB
8,3,7 - Forum of a message,1GB
9,15,7 - Forum of a message,1GB
10,2,7 - Forum of a message,1GB
11,3,7 - Forum of a message,1GB
12,2,7 - Forum of a message,1GB
13,13,7 - Forum of a message,1GB
14,2,7 - Forum of a message,1GB
15,3,7 - Forum of a message,1GB
16,2,7 - Forum of a message,1GB
1,97,7 - Forum of a message,2GB
2,4,7 - Forum of a message,2GB
3,2,7 - Forum of a message,2GB
4,2,7 - Forum of a message,2GB
5,10,7 - Forum of a message,2GB
6,2,7 - Forum of a message,2GB
7,2,7 - Forum of a message,2GB
8,2,7 - Forum of a message,2GB
9,10,7 - Forum of a message,2GB
10,2,7 - Forum of a message,2GB
11,2,7 - Forum of a message,2GB
12,2,7 - Forum of a message,2GB
13,9,7 - Forum of a message,2GB
14,2,7 - Forum of a message,2GB
15,2,7 - Forum of a message,2GB
16,2,7 - Forum of a message,2GB
1,98,7 - Forum of a message,4GB
2,3,7 - Forum of a message,4GB
3,3,7 - Forum of a message,4GB
4,2,7 - Forum of a message,4GB
5,11,7 - Forum of a message,4GB
6,2,7 - Forum of a message,4GB
7,2,7 - Forum of a message,4GB
8,2,7 - Forum of a message,4GB
9,9,7 - Forum of a message,4GB
10,2,7 - Forum of a message,4GB
11,2,7 - Forum of a message,4GB
12,2,7 - Forum of a message,4GB
13,9,7 - Forum of a message,4GB
14,2,7 - Forum of a message,4GB
15,2,7 - Forum of a message,4GB
16,2,7 - Forum of a message,4GB
1,105,7 - Forum of a message,8GB
2,5,7 - Forum of a message,8GB
3,3,7 - Forum of a message,8GB
4,2,7 - Forum of a message,8GB
5,11,7 - Forum of a message,8GB
6,3,7 - Forum of a message,8GB
7,2,7 - Forum of a message,8GB
8,2,7 - Forum of a message,8GB
9,10,7 - Forum of a message,8GB
10,2,7 - Forum of a message,8GB
11,2,7 - Forum of a message,8GB
12,2,7 - Forum of a message,8GB
13,8,7 - Forum of a message,8GB
14,2,7 - Forum of a message,8GB
15,2,7 - Forum of a message,8GB
16,2,7 - Forum of a message,8GB
