experiment_index,elapsed,label,experiment
1,649,9 - Friends recommendation,default
2,168,9 - Friends recommendation,default
3,143,9 - Friends recommendation,default
4,136,9 - Friends recommendation,default
5,152,9 - Friends recommendation,default
6,81,9 - Friends recommendation,default
7,67,9 - Friends recommendation,default
8,70,9 - Friends recommendation,default
9,94,9 - Friends recommendation,default
10,47,9 - Friends recommendation,default
11,50,9 - Friends recommendation,default
12,53,9 - Friends recommendation,default
13,147,9 - Friends recommendation,default
14,87,9 - Friends recommendation,default
15,76,9 - Friends recommendation,default
16,80,9 - Friends recommendation,default
1,576,9 - Friends recommendation,1GB
2,195,9 - Friends recommendation,1GB
3,158,9 - Friends recommendation,1GB
4,156,9 - Friends recommendation,1GB
5,139,9 - Friends recommendation,1GB
6,81,9 - Friends recommendation,1GB
7,81,9 - Friends recommendation,1GB
8,82,9 - Friends recommendation,1GB
9,87,9 - Friends recommendation,1GB
10,45,9 - Friends recommendation,1GB
11,45,9 - Friends recommendation,1GB
12,43,9 - Friends recommendation,1GB
13,131,9 - Friends recommendation,1GB
14,85,9 - Friends recommendation,1GB
15,91,9 - Friends recommendation,1GB
16,94,9 - Friends recommendation,1GB
1,476,9 - Friends recommendation,2GB
2,175,9 - Friends recommendation,2GB
3,148,9 - Friends recommendation,2GB
4,125,9 - Friends recommendation,2GB
5,139,9 - Friends recommendation,2GB
6,97,9 - Friends recommendation,2GB
7,83,9 - Friends recommendation,2GB
8,74,9 - Friends recommendation,2GB
9,77,9 - Friends recommendation,2GB
10,43,9 - Friends recommendation,2GB
11,40,9 - Friends recommendation,2GB
12,40,9 - Friends recommendation,2GB
13,119,9 - Friends recommendation,2GB
14,78,9 - Friends recommendation,2GB
15,73,9 - Friends recommendation,2GB
16,75,9 - Friends recommendation,2GB
1,468,9 - Friends recommendation,4GB
2,163,9 - Friends recommendation,4GB
3,161,9 - Friends recommendation,4GB
4,153,9 - Friends recommendation,4GB
5,132,9 - Friends recommendation,4GB
6,90,9 - Friends recommendation,4GB
7,71,9 - Friends recommendation,4GB
8,64,9 - Friends recommendation,4GB
9,78,9 - Friends recommendation,4GB
10,42,9 - Friends recommendation,4GB
11,42,9 - Friends recommendation,4GB
12,41,9 - Friends recommendation,4GB
13,120,9 - Friends recommendation,4GB
14,92,9 - Friends recommendation,4GB
15,98,9 - Friends recommendation,4GB
16,89,9 - Friends recommendation,4GB
1,464,9 - Friends recommendation,8GB
2,172,9 - Friends recommendation,8GB
3,160,9 - Friends recommendation,8GB
4,143,9 - Friends recommendation,8GB
5,118,9 - Friends recommendation,8GB
6,93,9 - Friends recommendation,8GB
7,86,9 - Friends recommendation,8GB
8,69,9 - Friends recommendation,8GB
9,80,9 - Friends recommendation,8GB
10,44,9 - Friends recommendation,8GB
11,40,9 - Friends recommendation,8GB
12,40,9 - Friends recommendation,8GB
13,133,9 - Friends recommendation,8GB
14,84,9 - Friends recommendation,8GB
15,85,9 - Friends recommendation,8GB
16,83,9 - Friends recommendation,8GB
