experiment_index,elapsed,label,experiment
1,128,1 - Transitive friends - step 3,default
2,83,1 - Transitive friends - step 3,default
3,81,1 - Transitive friends - step 3,default
4,83,1 - Transitive friends - step 3,default
5,7,1 - Transitive friends - step 3,default
6,3,1 - Transitive friends - step 3,default
7,4,1 - Transitive friends - step 3,default
8,3,1 - Transitive friends - step 3,default
9,11,1 - Transitive friends - step 3,default
10,9,1 - Transitive friends - step 3,default
11,9,1 - Transitive friends - step 3,default
12,8,1 - Transitive friends - step 3,default
13,24,1 - Transitive friends - step 3,default
14,24,1 - Transitive friends - step 3,default
15,25,1 - Transitive friends - step 3,default
16,24,1 - Transitive friends - step 3,default
1,96,1 - Transitive friends - step 3,1GB
2,77,1 - Transitive friends - step 3,1GB
3,75,1 - Transitive friends - step 3,1GB
4,75,1 - Transitive friends - step 3,1GB
5,6,1 - Transitive friends - step 3,1GB
6,3,1 - Transitive friends - step 3,1GB
7,3,1 - Transitive friends - step 3,1GB
8,3,1 - Transitive friends - step 3,1GB
9,10,1 - Transitive friends - step 3,1GB
10,9,1 - Transitive friends - step 3,1GB
11,8,1 - Transitive friends - step 3,1GB
12,9,1 - Transitive friends - step 3,1GB
13,22,1 - Transitive friends - step 3,1GB
14,21,1 - Transitive friends - step 3,1GB
15,22,1 - Transitive friends - step 3,1GB
16,24,1 - Transitive friends - step 3,1GB
1,99,1 - Transitive friends - step 3,2GB
2,79,1 - Transitive friends - step 3,2GB
3,87,1 - Transitive friends - step 3,2GB
4,85,1 - Transitive friends - step 3,2GB
5,6,1 - Transitive friends - step 3,2GB
6,3,1 - Transitive friends - step 3,2GB
7,4,1 - Transitive friends - step 3,2GB
8,3,1 - Transitive friends - step 3,2GB
9,11,1 - Transitive friends - step 3,2GB
10,9,1 - Transitive friends - step 3,2GB
11,9,1 - Transitive friends - step 3,2GB
12,8,1 - Transitive friends - step 3,2GB
13,23,1 - Transitive friends - step 3,2GB
14,24,1 - Transitive friends - step 3,2GB
15,23,1 - Transitive friends - step 3,2GB
16,22,1 - Transitive friends - step 3,2GB
1,100,1 - Transitive friends - step 3,4GB
2,76,1 - Transitive friends - step 3,4GB
3,76,1 - Transitive friends - step 3,4GB
4,76,1 - Transitive friends - step 3,4GB
5,5,1 - Transitive friends - step 3,4GB
6,2,1 - Transitive friends - step 3,4GB
7,3,1 - Transitive friends - step 3,4GB
8,3,1 - Transitive friends - step 3,4GB
9,10,1 - Transitive friends - step 3,4GB
10,9,1 - Transitive friends - step 3,4GB
11,8,1 - Transitive friends - step 3,4GB
12,8,1 - Transitive friends - step 3,4GB
13,23,1 - Transitive friends - step 3,4GB
14,23,1 - Transitive friends - step 3,4GB
15,22,1 - Transitive friends - step 3,4GB
16,23,1 - Transitive friends - step 3,4GB
1,98,1 - Transitive friends - step 3,8GB
2,78,1 - Transitive friends - step 3,8GB
3,76,1 - Transitive friends - step 3,8GB
4,76,1 - Transitive friends - step 3,8GB
5,6,1 - Transitive friends - step 3,8GB
6,3,1 - Transitive friends - step 3,8GB
7,3,1 - Transitive friends - step 3,8GB
8,3,1 - Transitive friends - step 3,8GB
9,10,1 - Transitive friends - step 3,8GB
10,9,1 - Transitive friends - step 3,8GB
11,9,1 - Transitive friends - step 3,8GB
12,8,1 - Transitive friends - step 3,8GB
13,22,1 - Transitive friends - step 3,8GB
14,21,1 - Transitive friends - step 3,8GB
15,22,1 - Transitive friends - step 3,8GB
16,22,1 - Transitive friends - step 3,8GB
