experiment_index,elapsed,label,experiment
1,36,10 - Replies of a message,default
2,27,10 - Replies of a message,default
3,25,10 - Replies of a message,default
4,25,10 - Replies of a message,default
5,25,10 - Replies of a message,default
6,26,10 - Replies of a message,default
7,26,10 - Replies of a message,default
8,26,10 - Replies of a message,default
9,25,10 - Replies of a message,default
10,25,10 - Replies of a message,default
11,26,10 - Replies of a message,default
12,26,10 - Replies of a message,default
13,25,10 - Replies of a message,default
14,24,10 - Replies of a message,default
15,25,10 - Replies of a message,default
16,25,10 - Replies of a message,default
1,142,10 - Replies of a message,1GB
2,25,10 - Replies of a message,1GB
3,25,10 - Replies of a message,1GB
4,29,10 - Replies of a message,1GB
5,26,10 - Replies of a message,1GB
6,24,10 - Replies of a message,1GB
7,24,10 - Replies of a message,1GB
8,25,10 - Replies of a message,1GB
9,25,10 - Replies of a message,1GB
10,25,10 - Replies of a message,1GB
11,24,10 - Replies of a message,1GB
12,25,10 - Replies of a message,1GB
13,27,10 - Replies of a message,1GB
14,25,10 - Replies of a message,1GB
15,24,10 - Replies of a message,1GB
16,23,10 - Replies of a message,1GB
1,28,10 - Replies of a message,2GB
2,25,10 - Replies of a message,2GB
3,126,10 - Replies of a message,2GB
4,137,10 - Replies of a message,2GB
5,25,10 - Replies of a message,2GB
6,25,10 - Replies of a message,2GB
7,24,10 - Replies of a message,2GB
8,24,10 - Replies of a message,2GB
9,25,10 - Replies of a message,2GB
10,25,10 - Replies of a message,2GB
11,25,10 - Replies of a message,2GB
12,24,10 - Replies of a message,2GB
13,25,10 - Replies of a message,2GB
14,31,10 - Replies of a message,2GB
15,26,10 - Replies of a message,2GB
16,25,10 - Replies of a message,2GB
1,139,10 - Replies of a message,4GB
2,25,10 - Replies of a message,4GB
3,26,10 - Replies of a message,4GB
4,25,10 - Replies of a message,4GB
5,24,10 - Replies of a message,4GB
6,24,10 - Replies of a message,4GB
7,25,10 - Replies of a message,4GB
8,25,10 - Replies of a message,4GB
9,25,10 - Replies of a message,4GB
10,25,10 - Replies of a message,4GB
11,24,10 - Replies of a message,4GB
12,26,10 - Replies of a message,4GB
13,134,10 - Replies of a message,4GB
14,26,10 - Replies of a message,4GB
15,25,10 - Replies of a message,4GB
16,25,10 - Replies of a message,4GB
1,28,10 - Replies of a message,8GB
2,28,10 - Replies of a message,8GB
3,25,10 - Replies of a message,8GB
4,25,10 - Replies of a message,8GB
5,26,10 - Replies of a message,8GB
6,26,10 - Replies of a message,8GB
7,28,10 - Replies of a message,8GB
8,26,10 - Replies of a message,8GB
9,25,10 - Replies of a message,8GB
10,26,10 - Replies of a message,8GB
11,27,10 - Replies of a message,8GB
12,25,10 - Replies of a message,8GB
13,25,10 - Replies of a message,8GB
14,25,10 - Replies of a message,8GB
15,27,10 - Replies of a message,8GB
16,26,10 - Replies of a message,8GB
