experiment_index,elapsed,label,experiment
1,273,4 - Friends and fof that have been to countries,default
2,73,4 - Friends and fof that have been to countries,default
3,76,4 - Friends and fof that have been to countries,default
4,74,4 - Friends and fof that have been to countries,default
5,90,4 - Friends and fof that have been to countries,default
6,174,4 - Friends and fof that have been to countries,default
7,89,4 - Friends and fof that have been to countries,default
8,88,4 - Friends and fof that have been to countries,default
9,171,4 - Friends and fof that have been to countries,default
10,172,4 - Friends and fof that have been to countries,default
11,177,4 - Friends and fof that have been to countries,default
12,78,4 - Friends and fof that have been to countries,default
13,177,4 - Friends and fof that have been to countries,default
14,82,4 - Friends and fof that have been to countries,default
15,81,4 - Friends and fof that have been to countries,default
16,80,4 - Friends and fof that have been to countries,default
1,136,4 - Friends and fof that have been to countries,1GB
2,78,4 - Friends and fof that have been to countries,1GB
3,176,4 - Friends and fof that have been to countries,1GB
4,74,4 - Friends and fof that have been to countries,1GB
5,182,4 - Friends and fof that have been to countries,1GB
6,94,4 - Friends and fof that have been to countries,1GB
7,92,4 - Friends and fof that have been to countries,1GB
8,180,4 - Friends and fof that have been to countries,1GB
9,78,4 - Friends and fof that have been to countries,1GB
10,79,4 - Friends and fof that have been to countries,1GB
11,77,4 - Friends and fof that have been to countries,1GB
12,75,4 - Friends and fof that have been to countries,1GB
13,171,4 - Friends and fof that have been to countries,1GB
14,81,4 - Friends and fof that have been to countries,1GB
15,80,4 - Friends and fof that have been to countries,1GB
16,81,4 - Friends and fof that have been to countries,1GB
1,192,4 - Friends and fof that have been to countries,2GB
2,80,4 - Friends and fof that have been to countries,2GB
3,177,4 - Friends and fof that have been to countries,2GB
4,186,4 - Friends and fof that have been to countries,2GB
5,184,4 - Friends and fof that have been to countries,2GB
6,102,4 - Friends and fof that have been to countries,2GB
7,99,4 - Friends and fof that have been to countries,2GB
8,95,4 - Friends and fof that have been to countries,2GB
9,85,4 - Friends and fof that have been to countries,2GB
10,82,4 - Friends and fof that have been to countries,2GB
11,80,4 - Friends and fof that have been to countries,2GB
12,81,4 - Friends and fof that have been to countries,2GB
13,85,4 - Friends and fof that have been to countries,2GB
14,89,4 - Friends and fof that have been to countries,2GB
15,87,4 - Friends and fof that have been to countries,2GB
16,89,4 - Friends and fof that have been to countries,2GB
1,166,4 - Friends and fof that have been to countries,4GB
2,172,4 - Friends and fof that have been to countries,4GB
3,77,4 - Friends and fof that have been to countries,4GB
4,77,4 - Friends and fof that have been to countries,4GB
5,96,4 - Friends and fof that have been to countries,4GB
6,175,4 - Friends and fof that have been to countries,4GB
7,97,4 - Friends and fof that have been to countries,4GB
8,96,4 - Friends and fof that have been to countries,4GB
9,77,4 - Friends and fof that have been to countries,4GB
10,79,4 - Friends and fof that have been to countries,4GB
11,172,4 - Friends and fof that have been to countries,4GB
12,170,4 - Friends and fof that have been to countries,4GB
13,81,4 - Friends and fof that have been to countries,4GB
14,180,4 - Friends and fof that have been to countries,4GB
15,85,4 - Friends and fof that have been to countries,4GB
16,83,4 - Friends and fof that have been to countries,4GB
1,242,4 - Friends and fof that have been to countries,8GB
2,174,4 - Friends and fof that have been to countries,8GB
3,80,4 - Friends and fof that have been to countries,8GB
4,77,4 - Friends and fof that have been to countries,8GB
5,101,4 - Friends and fof that have been to countries,8GB
6,178,4 - Friends and fof that have been to countries,8GB
7,94,4 - Friends and fof that have been to countries,8GB
8,97,4 - Friends and fof that have been to countries,8GB
9,81,4 - Friends and fof that have been to countries,8GB
10,85,4 - Friends and fof that have been to countries,8GB
11,82,4 - Friends and fof that have been to countries,8GB
12,80,4 - Friends and fof that have been to countries,8GB
13,84,4 - Friends and fof that have been to countries,8GB
14,178,4 - Friends and fof that have been to countries,8GB
15,168,4 - Friends and fof that have been to countries,8GB
16,181,4 - Friends and fof that have been to countries,8GB
