experiment_index,elapsed,label,experiment
1,44,5 - Shortest path,default
2,23,5 - Shortest path,default
3,24,5 - Shortest path,default
4,23,5 - Shortest path,default
5,24,5 - Shortest path,default
6,24,5 - Shortest path,default
7,23,5 - Shortest path,default
8,24,5 - Shortest path,default
9,23,5 - Shortest path,default
10,25,5 - Shortest path,default
11,24,5 - Shortest path,default
12,24,5 - Shortest path,default
13,24,5 - Shortest path,default
14,23,5 - Shortest path,default
15,24,5 - Shortest path,default
16,24,5 - Shortest path,default
1,34,5 - Shortest path,1GB
2,25,5 - Shortest path,1GB
3,24,5 - Shortest path,1GB
4,24,5 - Shortest path,1GB
5,24,5 - Shortest path,1GB
6,24,5 - Shortest path,1GB
7,24,5 - Shortest path,1GB
8,23,5 - Shortest path,1GB
9,24,5 - Shortest path,1GB
10,25,5 - Shortest path,1GB
11,24,5 - Shortest path,1GB
12,24,5 - Shortest path,1GB
13,24,5 - Shortest path,1GB
14,24,5 - Shortest path,1GB
15,24,5 - Shortest path,1GB
16,23,5 - Shortest path,1GB
1,32,5 - Shortest path,2GB
2,29,5 - Shortest path,2GB
3,23,5 - Shortest path,2GB
4,24,5 - Shortest path,2GB
5,24,5 - Shortest path,2GB
6,24,5 - Shortest path,2GB
7,24,5 - Shortest path,2GB
8,23,5 - Shortest path,2GB
9,23,5 - Shortest path,2GB
10,23,5 - Shortest path,2GB
11,23,5 - Shortest path,2GB
12,23,5 - Shortest path,2GB
13,22,5 - Shortest path,2GB
14,23,5 - Shortest path,2GB
15,24,5 - Shortest path,2GB
16,23,5 - Shortest path,2GB
1,32,5 - Shortest path,4GB
2,25,5 - Shortest path,4GB
3,23,5 - Shortest path,4GB
4,23,5 - Shortest path,4GB
5,24,5 - Shortest path,4GB
6,24,5 - Shortest path,4GB
7,22,5 - Shortest path,4GB
8,24,5 - Shortest path,4GB
9,24,5 - Shortest path,4GB
10,23,5 - Shortest path,4GB
11,24,5 - Shortest path,4GB
12,24,5 - Shortest path,4GB
13,23,5 - Shortest path,4GB
14,22,5 - Shortest path,4GB
15,24,5 - Shortest path,4GB
16,24,5 - Shortest path,4GB
1,30,5 - Shortest path,8GB
2,24,5 - Shortest path,8GB
3,23,5 - Shortest path,8GB
4,23,5 - Shortest path,8GB
5,22,5 - Shortest path,8GB
6,22,5 - Shortest path,8GB
7,24,5 - Shortest path,8GB
8,24,5 - Shortest path,8GB
9,24,5 - Shortest path,8GB
10,24,5 - Shortest path,8GB
11,24,5 - Shortest path,8GB
12,24,5 - Shortest path,8GB
13,23,5 - Shortest path,8GB
14,24,5 - Shortest path,8GB
15,23,5 - Shortest path,8GB
16,23,5 - Shortest path,8GB
