experiment_index,elapsed,label,experiment
1,28,6 - k Shortest paths,default
2,27,6 - k Shortest paths,default
3,27,6 - k Shortest paths,default
4,28,6 - k Shortest paths,default
5,27,6 - k Shortest paths,default
6,25,6 - k Shortest paths,default
7,26,6 - k Shortest paths,default
8,24,6 - k Shortest paths,default
9,27,6 - k Shortest paths,default
10,26,6 - k Shortest paths,default
11,27,6 - k Shortest paths,default
12,27,6 - k Shortest paths,default
13,26,6 - k Shortest paths,default
14,27,6 - k Shortest paths,default
15,26,6 - k Shortest paths,default
16,28,6 - k Shortest paths,default
1,26,6 - k Shortest paths,1GB
2,26,6 - k Shortest paths,1GB
3,27,6 - k Shortest paths,1GB
4,26,6 - k Shortest paths,1GB
5,26,6 - k Shortest paths,1GB
6,24,6 - k Shortest paths,1GB
7,25,6 - k Shortest paths,1GB
8,26,6 - k Shortest paths,1GB
9,28,6 - k Shortest paths,1GB
10,27,6 - k Shortest paths,1GB
11,27,6 - k Shortest paths,1GB
12,27,6 - k Shortest paths,1GB
13,28,6 - k Shortest paths,1GB
14,27,6 - k Shortest paths,1GB
15,26,6 - k Shortest paths,1GB
16,28,6 - k Shortest paths,1GB
1,26,6 - k Shortest paths,2GB
2,26,6 - k Shortest paths,2GB
3,26,6 - k Shortest paths,2GB
4,25,6 - k Shortest paths,2GB
5,25,6 - k Shortest paths,2GB
6,25,6 - k Shortest paths,2GB
7,25,6 - k Shortest paths,2GB
8,26,6 - k Shortest paths,2GB
9,26,6 - k Shortest paths,2GB
10,27,6 - k Shortest paths,2GB
11,30,6 - k Shortest paths,2GB
12,27,6 - k Shortest paths,2GB
13,26,6 - k Shortest paths,2GB
14,26,6 - k Shortest paths,2GB
15,28,6 - k Shortest paths,2GB
16,26,6 - k Shortest paths,2GB
1,26,6 - k Shortest paths,4GB
2,25,6 - k Shortest paths,4GB
3,25,6 - k Shortest paths,4GB
4,25,6 - k Shortest paths,4GB
5,25,6 - k Shortest paths,4GB
6,25,6 - k Shortest paths,4GB
7,25,6 - k Shortest paths,4GB
8,25,6 - k Shortest paths,4GB
9,26,6 - k Shortest paths,4GB
10,25,6 - k Shortest paths,4GB
11,26,6 - k Shortest paths,4GB
12,26,6 - k Shortest paths,4GB
13,26,6 - k Shortest paths,4GB
14,26,6 - k Shortest paths,4GB
15,27,6 - k Shortest paths,4GB
16,26,6 - k Shortest paths,4GB
1,25,6 - k Shortest paths,8GB
2,26,6 - k Shortest paths,8GB
3,25,6 - k Shortest paths,8GB
4,27,6 - k Shortest paths,8GB
5,25,6 - k Shortest paths,8GB
6,25,6 - k Shortest paths,8GB
7,25,6 - k Shortest paths,8GB
8,24,6 - k Shortest paths,8GB
9,26,6 - k Shortest paths,8GB
10,26,6 - k Shortest paths,8GB
11,27,6 - k Shortest paths,8GB
12,26,6 - k Shortest paths,8GB
13,25,6 - k Shortest paths,8GB
14,26,6 - k Shortest paths,8GB
15,27,6 - k Shortest paths,8GB
16,26,6 - k Shortest paths,8GB
