experiment_index,elapsed,label,experiment
1,50,8 - Recent messages by your friends,default
2,45,8 - Recent messages by your friends,default
3,47,8 - Recent messages by your friends,default
4,44,8 - Recent messages by your friends,default
5,36,8 - Recent messages by your friends,default
6,37,8 - Recent messages by your friends,default
7,37,8 - Recent messages by your friends,default
8,36,8 - Recent messages by your friends,default
9,38,8 - Recent messages by your friends,default
10,38,8 - Recent messages by your friends,default
11,38,8 - Recent messages by your friends,default
12,134,8 - Recent messages by your friends,default
13,50,8 - Recent messages by your friends,default
14,47,8 - Recent messages by your friends,default
15,140,8 - Recent messages by your friends,default
16,45,8 - Recent messages by your friends,default
1,47,8 - Recent messages by your friends,1GB
2,45,8 - Recent messages by your friends,1GB
3,46,8 - Recent messages by your friends,1GB
4,45,8 - Recent messages by your friends,1GB
5,40,8 - Recent messages by your friends,1GB
6,36,8 - Recent messages by your friends,1GB
7,38,8 - Recent messages by your friends,1GB
8,37,8 - Recent messages by your friends,1GB
9,40,8 - Recent messages by your friends,1GB
10,39,8 - Recent messages by your friends,1GB
11,37,8 - Recent messages by your friends,1GB
12,132,8 - Recent messages by your friends,1GB
13,45,8 - Recent messages by your friends,1GB
14,45,8 - Recent messages by your friends,1GB
15,45,8 - Recent messages by your friends,1GB
16,46,8 - Recent messages by your friends,1GB
1,51,8 - Recent messages by your friends,2GB
2,48,8 - Recent messages by your friends,2GB
3,51,8 - Recent messages by your friends,2GB
4,50,8 - Recent messages by your friends,2GB
5,139,8 - Recent messages by your friends,2GB
6,38,8 - Recent messages by your friends,2GB
7,36,8 - Recent messages by your friends,2GB
8,35,8 - Recent messages by your friends,2GB
9,138,8 - Recent messages by your friends,2GB
10,43,8 - Recent messages by your friends,2GB
11,40,8 - Recent messages by your friends,2GB
12,39,8 - Recent messages by your friends,2GB
13,45,8 - Recent messages by your friends,2GB
14,47,8 - Recent messages by your friends,2GB
15,45,8 - Recent messages by your friends,2GB
16,47,8 - Recent messages by your friends,2GB
1,48,8 - Recent messages by your friends,4GB
2,47,8 - Recent messages by your friends,4GB
3,47,8 - Recent messages by your friends,4GB
4,47,8 - Recent messages by your friends,4GB
5,130,8 - Recent messages by your friends,4GB
6,37,8 - Recent messages by your friends,4GB
7,36,8 - Recent messages by your friends,4GB
8,36,8 - Recent messages by your friends,4GB
9,38,8 - Recent messages by your friends,4GB
10,39,8 - Recent messages by your friends,4GB
11,38,8 - Recent messages by your friends,4GB
12,136,8 - Recent messages by your friends,4GB
13,47,8 - Recent messages by your friends,4GB
14,46,8 - Recent messages by your friends,4GB
15,46,8 - Recent messages by your friends,4GB
16,47,8 - Recent messages by your friends,4GB
1,54,8 - Recent messages by your friends,8GB
2,47,8 - Recent messages by your friends,8GB
3,48,8 - Recent messages by your friends,8GB
4,47,8 - Recent messages by your friends,8GB
5,38,8 - Recent messages by your friends,8GB
6,37,8 - Recent messages by your friends,8GB
7,37,8 - Recent messages by your friends,8GB
8,37,8 - Recent messages by your friends,8GB
9,43,8 - Recent messages by your friends,8GB
10,49,8 - Recent messages by your friends,8GB
11,42,8 - Recent messages by your friends,8GB
12,40,8 - Recent messages by your friends,8GB
13,50,8 - Recent messages by your friends,8GB
14,48,8 - Recent messages by your friends,8GB
15,47,8 - Recent messages by your friends,8GB
16,48,8 - Recent messages by your friends,8GB
