experiment_index,elapsed,label,experiment
1,550,9 - Friend recommendation,default
2,150,9 - Friend recommendation,default
3,160,9 - Friend recommendation,default
4,147,9 - Friend recommendation,default
5,2324,9 - Friend recommendation,default
6,1919,9 - Friend recommendation,default
7,1913,9 - Friend recommendation,default
8,1948,9 - Friend recommendation,default
9,1155,9 - Friend recommendation,default
10,1118,9 - Friend recommendation,default
11,1320,9 - Friend recommendation,default
12,1332,9 - Friend recommendation,default
13,2094,9 - Friend recommendation,default
14,2164,9 - Friend recommendation,default
15,2176,9 - Friend recommendation,default
16,2035,9 - Friend recommendation,default
1,179,9 - Friend recommendation,1GB
2,140,9 - Friend recommendation,1GB
3,143,9 - Friend recommendation,1GB
4,143,9 - Friend recommendation,1GB
5,1744,9 - Friend recommendation,1GB
6,1763,9 - Friend recommendation,1GB
7,1728,9 - Friend recommendation,1GB
8,1771,9 - Friend recommendation,1GB
9,1016,9 - Friend recommendation,1GB
10,1026,9 - Friend recommendation,1GB
11,1041,9 - Friend recommendation,1GB
12,1014,9 - Friend recommendation,1GB
13,1735,9 - Friend recommendation,1GB
14,1754,9 - Friend recommendation,1GB
15,1765,9 - Friend recommendation,1GB
16,1794,9 - Friend recommendation,1GB
1,182,9 - Friend recommendation,2GB
2,147,9 - Friend recommendation,2GB
3,147,9 - Friend recommendation,2GB
4,146,9 - Friend recommendation,2GB
5,6710,9 - Friend recommendation,2GB
6,6712,9 - Friend recommendation,2GB
7,6668,9 - Friend recommendation,2GB
8,4494,9 - Friend recommendation,2GB
9,2240,9 - Friend recommendation,2GB
10,2192,9 - Friend recommendation,2GB
11,2180,9 - Friend recommendation,2GB
12,2189,9 - Friend recommendation,2GB
13,4477,9 - Friend recommendation,2GB
14,4329,9 - Friend recommendation,2GB
15,4376,9 - Friend recommendation,2GB
16,4379,9 - Friend recommendation,2GB
1,177,9 - Friend recommendation,4GB
2,146,9 - Friend recommendation,4GB
3,140,9 - Friend recommendation,4GB
4,140,9 - Friend recommendation,4GB
5,1755,9 - Friend recommendation,4GB
6,1728,9 - Friend recommendation,4GB
7,1780,9 - Friend recommendation,4GB
8,1769,9 - Friend recommendation,4GB
9,1029,9 - Friend recommendation,4GB
10,1039,9 - Friend recommendation,4GB
11,1034,9 - Friend recommendation,4GB
12,1026,9 - Friend recommendation,4GB
13,1779,9 - Friend recommendation,4GB
14,1781,9 - Friend recommendation,4GB
15,1762,9 - Friend recommendation,4GB
16,1746,9 - Friend recommendation,4GB
1,182,9 - Friend recommendation,8GB
2,157,9 - Friend recommendation,8GB
3,150,9 - Friend recommendation,8GB
4,146,9 - Friend recommendation,8GB
5,1890,9 - Friend recommendation,8GB
6,2018,9 - Friend recommendation,8GB
7,1878,9 - Friend recommendation,8GB
8,1946,9 - Friend recommendation,8GB
9,1148,9 - Friend recommendation,8GB
10,1111,9 - Friend recommendation,8GB
11,1139,9 - Friend recommendation,8GB
12,1171,9 - Friend recommendation,8GB
13,1995,9 - Friend recommendation,8GB
14,2029,9 - Friend recommendation,8GB
15,2076,9 - Friend recommendation,8GB
16,1926,9 - Friend recommendation,8GB
