experiment_index,elapsed,label,experiment
1,618,4 - Friends and fof that have been to countries,default
2,150,4 - Friends and fof that have been to countries,default
3,152,4 - Friends and fof that have been to countries,default
4,154,4 - Friends and fof that have been to countries,default
5,171,4 - Friends and fof that have been to countries,default
6,172,4 - Friends and fof that have been to countries,default
7,171,4 - Friends and fof that have been to countries,default
8,164,4 - Friends and fof that have been to countries,default
9,183,4 - Friends and fof that have been to countries,default
10,171,4 - Friends and fof that have been to countries,default
11,177,4 - Friends and fof that have been to countries,default
12,176,4 - Friends and fof that have been to countries,default
13,169,4 - Friends and fof that have been to countries,default
14,167,4 - Friends and fof that have been to countries,default
15,173,4 - Friends and fof that have been to countries,default
16,167,4 - Friends and fof that have been to countries,default
1,391,4 - Friends and fof that have been to countries,1GB
2,158,4 - Friends and fof that have been to countries,1GB
3,161,4 - Friends and fof that have been to countries,1GB
4,160,4 - Friends and fof that have been to countries,1GB
5,229,4 - Friends and fof that have been to countries,1GB
6,173,4 - Friends and fof that have been to countries,1GB
7,170,4 - Friends and fof that have been to countries,1GB
8,218,4 - Friends and fof that have been to countries,1GB
9,178,4 - Friends and fof that have been to countries,1GB
10,174,4 - Friends and fof that have been to countries,1GB
11,177,4 - Friends and fof that have been to countries,1GB
12,176,4 - Friends and fof that have been to countries,1GB
13,174,4 - Friends and fof that have been to countries,1GB
14,176,4 - Friends and fof that have been to countries,1GB
15,175,4 - Friends and fof that have been to countries,1GB
16,173,4 - Friends and fof that have been to countries,1GB
1,957,4 - Friends and fof that have been to countries,2GB
2,194,4 - Friends and fof that have been to countries,2GB
3,180,4 - Friends and fof that have been to countries,2GB
4,179,4 - Friends and fof that have been to countries,2GB
5,197,4 - Friends and fof that have been to countries,2GB
6,188,4 - Friends and fof that have been to countries,2GB
7,189,4 - Friends and fof that have been to countries,2GB
8,189,4 - Friends and fof that have been to countries,2GB
9,201,4 - Friends and fof that have been to countries,2GB
10,194,4 - Friends and fof that have been to countries,2GB
11,199,4 - Friends and fof that have been to countries,2GB
12,244,4 - Friends and fof that have been to countries,2GB
13,192,4 - Friends and fof that have been to countries,2GB
14,200,4 - Friends and fof that have been to countries,2GB
15,201,4 - Friends and fof that have been to countries,2GB
16,190,4 - Friends and fof that have been to countries,2GB
1,661,4 - Friends and fof that have been to countries,4GB
2,269,4 - Friends and fof that have been to countries,4GB
3,181,4 - Friends and fof that have been to countries,4GB
4,235,4 - Friends and fof that have been to countries,4GB
5,199,4 - Friends and fof that have been to countries,4GB
6,198,4 - Friends and fof that have been to countries,4GB
7,197,4 - Friends and fof that have been to countries,4GB
8,195,4 - Friends and fof that have been to countries,4GB
9,238,4 - Friends and fof that have been to countries,4GB
10,232,4 - Friends and fof that have been to countries,4GB
11,202,4 - Friends and fof that have been to countries,4GB
12,249,4 - Friends and fof that have been to countries,4GB
13,202,4 - Friends and fof that have been to countries,4GB
14,203,4 - Friends and fof that have been to countries,4GB
15,236,4 - Friends and fof that have been to countries,4GB
16,205,4 - Friends and fof that have been to countries,4GB
1,674,4 - Friends and fof that have been to countries,8GB
2,197,4 - Friends and fof that have been to countries,8GB
3,192,4 - Friends and fof that have been to countries,8GB
4,190,4 - Friends and fof that have been to countries,8GB
5,206,4 - Friends and fof that have been to countries,8GB
6,236,4 - Friends and fof that have been to countries,8GB
7,240,4 - Friends and fof that have been to countries,8GB
8,196,4 - Friends and fof that have been to countries,8GB
9,206,4 - Friends and fof that have been to countries,8GB
10,209,4 - Friends and fof that have been to countries,8GB
11,204,4 - Friends and fof that have been to countries,8GB
12,207,4 - Friends and fof that have been to countries,8GB
13,203,4 - Friends and fof that have been to countries,8GB
14,210,4 - Friends and fof that have been to countries,8GB
15,197,4 - Friends and fof that have been to countries,8GB
16,199,4 - Friends and fof that have been to countries,8GB
