experiment_index,elapsed,label,experiment
1,1281,9 - Friend recommendation,default
2,473,9 - Friend recommendation,default
3,442,9 - Friend recommendation,default
4,513,9 - Friend recommendation,default
5,898,9 - Friend recommendation,default
6,480,9 - Friend recommendation,default
7,545,9 - Friend recommendation,default
8,496,9 - Friend recommendation,default
9,810,9 - Friend recommendation,default
10,641,9 - Friend recommendation,default
11,643,9 - Friend recommendation,default
12,663,9 - Friend recommendation,default
13,622,9 - Friend recommendation,default
14,570,9 - Friend recommendation,default
15,557,9 - Friend recommendation,default
16,551,9 - Friend recommendation,default
1,469,9 - Friend recommendation,1GB
2,348,9 - Friend recommendation,1GB
3,360,9 - Friend recommendation,1GB
4,464,9 - Friend recommendation,1GB
5,517,9 - Friend recommendation,1GB
6,457,9 - Friend recommendation,1GB
7,424,9 - Friend recommendation,1GB
8,427,9 - Friend recommendation,1GB
9,562,9 - Friend recommendation,1GB
10,458,9 - Friend recommendation,1GB
11,463,9 - Friend recommendation,1GB
12,460,9 - Friend recommendation,1GB
13,443,9 - Friend recommendation,1GB
14,412,9 - Friend recommendation,1GB
15,407,9 - Friend recommendation,1GB
16,405,9 - Friend recommendation,1GB
1,1201,9 - Friend recommendation,2GB
2,325,9 - Friend recommendation,2GB
3,326,9 - Friend recommendation,2GB
4,348,9 - Friend recommendation,2GB
5,784,9 - Friend recommendation,2GB
6,406,9 - Friend recommendation,2GB
7,401,9 - Friend recommendation,2GB
8,389,9 - Friend recommendation,2GB
9,615,9 - Friend recommendation,2GB
10,432,9 - Friend recommendation,2GB
11,445,9 - Friend recommendation,2GB
12,441,9 - Friend recommendation,2GB
13,446,9 - Friend recommendation,2GB
14,383,9 - Friend recommendation,2GB
15,380,9 - Friend recommendation,2GB
16,383,9 - Friend recommendation,2GB
1,1223,9 - Friend recommendation,4GB
2,346,9 - Friend recommendation,4GB
3,333,9 - Friend recommendation,4GB
4,335,9 - Friend recommendation,4GB
5,931,9 - Friend recommendation,4GB
6,400,9 - Friend recommendation,4GB
7,394,9 - Friend recommendation,4GB
8,398,9 - Friend recommendation,4GB
9,624,9 - Friend recommendation,4GB
10,456,9 - Friend recommendation,4GB
11,443,9 - Friend recommendation,4GB
12,439,9 - Friend recommendation,4GB
13,434,9 - Friend recommendation,4GB
14,381,9 - Friend recommendation,4GB
15,383,9 - Friend recommendation,4GB
16,388,9 - Friend recommendation,4GB
1,1222,9 - Friend recommendation,8GB
2,337,9 - Friend recommendation,8GB
3,330,9 - Friend recommendation,8GB
4,326,9 - Friend recommendation,8GB
5,792,9 - Friend recommendation,8GB
6,418,9 - Friend recommendation,8GB
7,401,9 - Friend recommendation,8GB
8,393,9 - Friend recommendation,8GB
9,619,9 - Friend recommendation,8GB
10,469,9 - Friend recommendation,8GB
11,455,9 - Friend recommendation,8GB
12,465,9 - Friend recommendation,8GB
13,440,9 - Friend recommendation,8GB
14,412,9 - Friend recommendation,8GB
15,391,9 - Friend recommendation,8GB
16,398,9 - Friend recommendation,8GB
