experiment_index,elapsed,label,experiment
1,676,1 - Transitive friends - step 3,default
2,538,1 - Transitive friends - step 3,default
3,547,1 - Transitive friends - step 3,default
4,548,1 - Transitive friends - step 3,default
5,209,1 - Transitive friends - step 3,default
6,192,1 - Transitive friends - step 3,default
7,199,1 - Transitive friends - step 3,default
8,202,1 - Transitive friends - step 3,default
9,161,1 - Transitive friends - step 3,default
10,157,1 - Transitive friends - step 3,default
11,156,1 - Transitive friends - step 3,default
12,161,1 - Transitive friends - step 3,default
13,71,1 - Transitive friends - step 3,default
14,60,1 - Transitive friends - step 3,default
15,61,1 - Transitive friends - step 3,default
16,59,1 - Transitive friends - step 3,default
1,587,1 - Transitive friends - step 3,1GB
2,567,1 - Transitive friends - step 3,1GB
3,554,1 - Transitive friends - step 3,1GB
4,566,1 - Transitive friends - step 3,1GB
5,217,1 - Transitive friends - step 3,1GB
6,209,1 - Transitive friends - step 3,1GB
7,219,1 - Transitive friends - step 3,1GB
8,210,1 - Transitive friends - step 3,1GB
9,145,1 - Transitive friends - step 3,1GB
10,140,1 - Transitive friends - step 3,1GB
11,142,1 - Transitive friends - step 3,1GB
12,141,1 - Transitive friends - step 3,1GB
13,56,1 - Transitive friends - step 3,1GB
14,58,1 - Transitive friends - step 3,1GB
15,52,1 - Transitive friends - step 3,1GB
16,51,1 - Transitive friends - step 3,1GB
1,598,1 - Transitive friends - step 3,2GB
2,578,1 - Transitive friends - step 3,2GB
3,579,1 - Transitive friends - step 3,2GB
4,573,1 - Transitive friends - step 3,2GB
5,183,1 - Transitive friends - step 3,2GB
6,175,1 - Transitive friends - step 3,2GB
7,175,1 - Transitive friends - step 3,2GB
8,180,1 - Transitive friends - step 3,2GB
9,147,1 - Transitive friends - step 3,2GB
10,146,1 - Transitive friends - step 3,2GB
11,146,1 - Transitive friends - step 3,2GB
12,144,1 - Transitive friends - step 3,2GB
13,56,1 - Transitive friends - step 3,2GB
14,52,1 - Transitive friends - step 3,2GB
15,51,1 - Transitive friends - step 3,2GB
16,51,1 - Transitive friends - step 3,2GB
1,507,1 - Transitive friends - step 3,4GB
2,487,1 - Transitive friends - step 3,4GB
3,487,1 - Transitive friends - step 3,4GB
4,485,1 - Transitive friends - step 3,4GB
5,201,1 - Transitive friends - step 3,4GB
6,179,1 - Transitive friends - step 3,4GB
7,177,1 - Transitive friends - step 3,4GB
8,176,1 - Transitive friends - step 3,4GB
9,143,1 - Transitive friends - step 3,4GB
10,143,1 - Transitive friends - step 3,4GB
11,146,1 - Transitive friends - step 3,4GB
12,140,1 - Transitive friends - step 3,4GB
13,56,1 - Transitive friends - step 3,4GB
14,52,1 - Transitive friends - step 3,4GB
15,51,1 - Transitive friends - step 3,4GB
16,51,1 - Transitive friends - step 3,4GB
1,501,1 - Transitive friends - step 3,8GB
2,485,1 - Transitive friends - step 3,8GB
3,489,1 - Transitive friends - step 3,8GB
4,490,1 - Transitive friends - step 3,8GB
5,195,1 - Transitive friends - step 3,8GB
6,176,1 - Transitive friends - step 3,8GB
7,185,1 - Transitive friends - step 3,8GB
8,177,1 - Transitive friends - step 3,8GB
9,145,1 - Transitive friends - step 3,8GB
10,142,1 - Transitive friends - step 3,8GB
11,143,1 - Transitive friends - step 3,8GB
12,143,1 - Transitive friends - step 3,8GB
13,56,1 - Transitive friends - step 3,8GB
14,51,1 - Transitive friends - step 3,8GB
15,56,1 - Transitive friends - step 3,8GB
16,50,1 - Transitive friends - step 3,8GB
