experiment_index,elapsed,label,experiment
1,246,10 - Replies of a message,default
2,91,10 - Replies of a message,default
3,98,10 - Replies of a message,default
4,92,10 - Replies of a message,default
5,93,10 - Replies of a message,default
6,92,10 - Replies of a message,default
7,91,10 - Replies of a message,default
8,95,10 - Replies of a message,default
9,92,10 - Replies of a message,default
10,92,10 - Replies of a message,default
11,98,10 - Replies of a message,default
12,96,10 - Replies of a message,default
13,103,10 - Replies of a message,default
14,99,10 - Replies of a message,default
15,95,10 - Replies of a message,default
16,140,10 - Replies of a message,default
1,113,10 - Replies of a message,1GB
2,115,10 - Replies of a message,1GB
3,99,10 - Replies of a message,1GB
4,92,10 - Replies of a message,1GB
5,94,10 - Replies of a message,1GB
6,99,10 - Replies of a message,1GB
7,94,10 - Replies of a message,1GB
8,94,10 - Replies of a message,1GB
9,93,10 - Replies of a message,1GB
10,95,10 - Replies of a message,1GB
11,89,10 - Replies of a message,1GB
12,93,10 - Replies of a message,1GB
13,89,10 - Replies of a message,1GB
14,94,10 - Replies of a message,1GB
15,94,10 - Replies of a message,1GB
16,88,10 - Replies of a message,1GB
1,146,10 - Replies of a message,2GB
2,96,10 - Replies of a message,2GB
3,95,10 - Replies of a message,2GB
4,94,10 - Replies of a message,2GB
5,88,10 - Replies of a message,2GB
6,131,10 - Replies of a message,2GB
7,91,10 - Replies of a message,2GB
8,92,10 - Replies of a message,2GB
9,95,10 - Replies of a message,2GB
10,90,10 - Replies of a message,2GB
11,93,10 - Replies of a message,2GB
12,89,10 - Replies of a message,2GB
13,88,10 - Replies of a message,2GB
14,89,10 - Replies of a message,2GB
15,89,10 - Replies of a message,2GB
16,96,10 - Replies of a message,2GB
1,115,10 - Replies of a message,4GB
2,101,10 - Replies of a message,4GB
3,99,10 - Replies of a message,4GB
4,94,10 - Replies of a message,4GB
5,90,10 - Replies of a message,4GB
6,93,10 - Replies of a message,4GB
7,93,10 - Replies of a message,4GB
8,90,10 - Replies of a message,4GB
9,99,10 - Replies of a message,4GB
10,91,10 - Replies of a message,4GB
11,87,10 - Replies of a message,4GB
12,90,10 - Replies of a message,4GB
13,90,10 - Replies of a message,4GB
14,97,10 - Replies of a message,4GB
15,91,10 - Replies of a message,4GB
16,90,10 - Replies of a message,4GB
1,120,10 - Replies of a message,8GB
2,105,10 - Replies of a message,8GB
3,98,10 - Replies of a message,8GB
4,98,10 - Replies of a message,8GB
5,100,10 - Replies of a message,8GB
6,94,10 - Replies of a message,8GB
7,99,10 - Replies of a message,8GB
8,97,10 - Replies of a message,8GB
9,94,10 - Replies of a message,8GB
10,99,10 - Replies of a message,8GB
11,98,10 - Replies of a message,8GB
12,93,10 - Replies of a message,8GB
13,92,10 - Replies of a message,8GB
14,90,10 - Replies of a message,8GB
15,93,10 - Replies of a message,8GB
16,100,10 - Replies of a message,8GB
