experiment_index,elapsed,label,experiment
1,384,5 - Shortest path,default
2,347,5 - Shortest path,default
3,339,5 - Shortest path,default
4,350,5 - Shortest path,default
5,350,5 - Shortest path,default
6,340,5 - Shortest path,default
7,379,5 - Shortest path,default
8,373,5 - Shortest path,default
9,372,5 - Shortest path,default
10,356,5 - Shortest path,default
11,352,5 - Shortest path,default
12,350,5 - Shortest path,default
13,352,5 - Shortest path,default
14,343,5 - Shortest path,default
15,348,5 - Shortest path,default
16,358,5 - Shortest path,default
1,362,5 - Shortest path,1GB
2,339,5 - Shortest path,1GB
3,339,5 - Shortest path,1GB
4,350,5 - Shortest path,1GB
5,344,5 - Shortest path,1GB
6,356,5 - Shortest path,1GB
7,342,5 - Shortest path,1GB
8,340,5 - Shortest path,1GB
9,345,5 - Shortest path,1GB
10,334,5 - Shortest path,1GB
11,335,5 - Shortest path,1GB
12,345,5 - Shortest path,1GB
13,343,5 - Shortest path,1GB
14,341,5 - Shortest path,1GB
15,347,5 - Shortest path,1GB
16,346,5 - Shortest path,1GB
1,364,5 - Shortest path,2GB
2,335,5 - Shortest path,2GB
3,341,5 - Shortest path,2GB
4,341,5 - Shortest path,2GB
5,344,5 - Shortest path,2GB
6,346,5 - Shortest path,2GB
7,349,5 - Shortest path,2GB
8,340,5 - Shortest path,2GB
9,337,5 - Shortest path,2GB
10,348,5 - Shortest path,2GB
11,335,5 - Shortest path,2GB
12,351,5 - Shortest path,2GB
13,349,5 - Shortest path,2GB
14,337,5 - Shortest path,2GB
15,363,5 - Shortest path,2GB
16,336,5 - Shortest path,2GB
1,363,5 - Shortest path,4GB
2,336,5 - Shortest path,4GB
3,343,5 - Shortest path,4GB
4,342,5 - Shortest path,4GB
5,338,5 - Shortest path,4GB
6,353,5 - Shortest path,4GB
7,343,5 - Shortest path,4GB
8,337,5 - Shortest path,4GB
9,340,5 - Shortest path,4GB
10,337,5 - Shortest path,4GB
11,338,5 - Shortest path,4GB
12,343,5 - Shortest path,4GB
13,342,5 - Shortest path,4GB
14,349,5 - Shortest path,4GB
15,355,5 - Shortest path,4GB
16,340,5 - Shortest path,4GB
1,363,5 - Shortest path,8GB
2,337,5 - Shortest path,8GB
3,335,5 - Shortest path,8GB
4,343,5 - Shortest path,8GB
5,344,5 - Shortest path,8GB
6,342,5 - Shortest path,8GB
7,355,5 - Shortest path,8GB
8,346,5 - Shortest path,8GB
9,341,5 - Shortest path,8GB
10,347,5 - Shortest path,8GB
11,338,5 - Shortest path,8GB
12,340,5 - Shortest path,8GB
13,361,5 - Shortest path,8GB
14,344,5 - Shortest path,8GB
15,344,5 - Shortest path,8GB
16,348,5 - Shortest path,8GB
