experiment_index,elapsed,label,experiment
1,378,6 - k Shortest paths,default
2,375,6 - k Shortest paths,default
3,366,6 - k Shortest paths,default
4,378,6 - k Shortest paths,default
5,443,6 - k Shortest paths,default
6,418,6 - k Shortest paths,default
7,434,6 - k Shortest paths,default
8,434,6 - k Shortest paths,default
9,354,6 - k Shortest paths,default
10,365,6 - k Shortest paths,default
11,354,6 - k Shortest paths,default
12,358,6 - k Shortest paths,default
13,375,6 - k Shortest paths,default
14,372,6 - k Shortest paths,default
15,385,6 - k Shortest paths,default
16,397,6 - k Shortest paths,default
1,365,6 - k Shortest paths,1GB
2,369,6 - k Shortest paths,1GB
3,353,6 - k Shortest paths,1GB
4,362,6 - k Shortest paths,1GB
5,437,6 - k Shortest paths,1GB
6,416,6 - k Shortest paths,1GB
7,429,6 - k Shortest paths,1GB
8,448,6 - k Shortest paths,1GB
9,362,6 - k Shortest paths,1GB
10,371,6 - k Shortest paths,1GB
11,358,6 - k Shortest paths,1GB
12,359,6 - k Shortest paths,1GB
13,371,6 - k Shortest paths,1GB
14,372,6 - k Shortest paths,1GB
15,432,6 - k Shortest paths,1GB
16,435,6 - k Shortest paths,1GB
1,374,6 - k Shortest paths,2GB
2,369,6 - k Shortest paths,2GB
3,359,6 - k Shortest paths,2GB
4,365,6 - k Shortest paths,2GB
5,443,6 - k Shortest paths,2GB
6,417,6 - k Shortest paths,2GB
7,444,6 - k Shortest paths,2GB
8,429,6 - k Shortest paths,2GB
9,352,6 - k Shortest paths,2GB
10,360,6 - k Shortest paths,2GB
11,350,6 - k Shortest paths,2GB
12,367,6 - k Shortest paths,2GB
13,379,6 - k Shortest paths,2GB
14,374,6 - k Shortest paths,2GB
15,395,6 - k Shortest paths,2GB
16,383,6 - k Shortest paths,2GB
1,368,6 - k Shortest paths,4GB
2,378,6 - k Shortest paths,4GB
3,352,6 - k Shortest paths,4GB
4,380,6 - k Shortest paths,4GB
5,433,6 - k Shortest paths,4GB
6,423,6 - k Shortest paths,4GB
7,427,6 - k Shortest paths,4GB
8,441,6 - k Shortest paths,4GB
9,360,6 - k Shortest paths,4GB
10,351,6 - k Shortest paths,4GB
11,365,6 - k Shortest paths,4GB
12,358,6 - k Shortest paths,4GB
13,371,6 - k Shortest paths,4GB
14,372,6 - k Shortest paths,4GB
15,388,6 - k Shortest paths,4GB
16,380,6 - k Shortest paths,4GB
1,365,6 - k Shortest paths,8GB
2,378,6 - k Shortest paths,8GB
3,361,6 - k Shortest paths,8GB
4,358,6 - k Shortest paths,8GB
5,434,6 - k Shortest paths,8GB
6,419,6 - k Shortest paths,8GB
7,435,6 - k Shortest paths,8GB
8,437,6 - k Shortest paths,8GB
9,360,6 - k Shortest paths,8GB
10,366,6 - k Shortest paths,8GB
11,363,6 - k Shortest paths,8GB
12,355,6 - k Shortest paths,8GB
13,383,6 - k Shortest paths,8GB
14,369,6 - k Shortest paths,8GB
15,395,6 - k Shortest paths,8GB
16,386,6 - k Shortest paths,8GB
