experiment_index,elapsed,label,experiment
1,203,2 - Transitive friends - step 4,default
2,13,2 - Transitive friends - step 4,default
3,13,2 - Transitive friends - step 4,default
4,12,2 - Transitive friends - step 4,default
5,33,2 - Transitive friends - step 4,default
6,6,2 - Transitive friends - step 4,default
7,6,2 - Transitive friends - step 4,default
8,6,2 - Transitive friends - step 4,default
9,35,2 - Transitive friends - step 4,default
10,10,2 - Transitive friends - step 4,default
11,10,2 - Transitive friends - step 4,default
12,11,2 - Transitive friends - step 4,default
13,54,2 - Transitive friends - step 4,default
14,9,2 - Transitive friends - step 4,default
15,10,2 - Transitive friends - step 4,default
16,9,2 - Transitive friends - step 4,default
1,213,2 - Transitive friends - step 4,1GB
2,13,2 - Transitive friends - step 4,1GB
3,13,2 - Transitive friends - step 4,1GB
4,13,2 - Transitive friends - step 4,1GB
5,33,2 - Transitive friends - step 4,1GB
6,7,2 - Transitive friends - step 4,1GB
7,6,2 - Transitive friends - step 4,1GB
8,5,2 - Transitive friends - step 4,1GB
9,35,2 - Transitive friends - step 4,1GB
10,23,2 - Transitive friends - step 4,1GB
11,11,2 - Transitive friends - step 4,1GB
12,10,2 - Transitive friends - step 4,1GB
13,34,2 - Transitive friends - step 4,1GB
14,10,2 - Transitive friends - step 4,1GB
15,9,2 - Transitive friends - step 4,1GB
16,9,2 - Transitive friends - step 4,1GB
1,212,2 - Transitive friends - step 4,2GB
2,15,2 - Transitive friends - step 4,2GB
3,13,2 - Transitive friends - step 4,2GB
4,12,2 - Transitive friends - step 4,2GB
5,33,2 - Transitive friends - step 4,2GB
6,7,2 - Transitive friends - step 4,2GB
7,6,2 - Transitive friends - step 4,2GB
8,6,2 - Transitive friends - step 4,2GB
9,36,2 - Transitive friends - step 4,2GB
10,10,2 - Transitive friends - step 4,2GB
11,10,2 - Transitive friends - step 4,2GB
12,10,2 - Transitive friends - step 4,2GB
13,33,2 - Transitive friends - step 4,2GB
14,10,2 - Transitive friends - step 4,2GB
15,36,2 - Transitive friends - step 4,2GB
16,12,2 - Transitive friends - step 4,2GB
1,205,2 - Transitive friends - step 4,4GB
2,14,2 - Transitive friends - step 4,4GB
3,16,2 - Transitive friends - step 4,4GB
4,13,2 - Transitive friends - step 4,4GB
5,34,2 - Transitive friends - step 4,4GB
6,7,2 - Transitive friends - step 4,4GB
7,6,2 - Transitive friends - step 4,4GB
8,6,2 - Transitive friends - step 4,4GB
9,72,2 - Transitive friends - step 4,4GB
10,12,2 - Transitive friends - step 4,4GB
11,22,2 - Transitive friends - step 4,4GB
12,13,2 - Transitive friends - step 4,4GB
13,37,2 - Transitive friends - step 4,4GB
14,10,2 - Transitive friends - step 4,4GB
15,9,2 - Transitive friends - step 4,4GB
16,9,2 - Transitive friends - step 4,4GB
1,201,2 - Transitive friends - step 4,8GB
2,14,2 - Transitive friends - step 4,8GB
3,15,2 - Transitive friends - step 4,8GB
4,13,2 - Transitive friends - step 4,8GB
5,33,2 - Transitive friends - step 4,8GB
6,7,2 - Transitive friends - step 4,8GB
7,7,2 - Transitive friends - step 4,8GB
8,6,2 - Transitive friends - step 4,8GB
9,36,2 - Transitive friends - step 4,8GB
10,10,2 - Transitive friends - step 4,8GB
11,27,2 - Transitive friends - step 4,8GB
12,14,2 - Transitive friends - step 4,8GB
13,45,2 - Transitive friends - step 4,8GB
14,21,2 - Transitive friends - step 4,8GB
15,12,2 - Transitive friends - step 4,8GB
16,14,2 - Transitive friends - step 4,8GB
