experiment_index,elapsed,label,experiment
1,1364,4 - Friends and fof that have been to countries,default
2,282,4 - Friends and fof that have been to countries,default
3,246,4 - Friends and fof that have been to countries,default
4,251,4 - Friends and fof that have been to countries,default
5,209,4 - Friends and fof that have been to countries,default
6,157,4 - Friends and fof that have been to countries,default
7,157,4 - Friends and fof that have been to countries,default
8,157,4 - Friends and fof that have been to countries,default
9,265,4 - Friends and fof that have been to countries,default
10,271,4 - Friends and fof that have been to countries,default
11,212,4 - Friends and fof that have been to countries,default
12,203,4 - Friends and fof that have been to countries,default
13,95,4 - Friends and fof that have been to countries,default
14,68,4 - Friends and fof that have been to countries,default
15,62,4 - Friends and fof that have been to countries,default
16,64,4 - Friends and fof that have been to countries,default
1,929,4 - Friends and fof that have been to countries,1GB
2,278,4 - Friends and fof that have been to countries,1GB
3,251,4 - Friends and fof that have been to countries,1GB
4,256,4 - Friends and fof that have been to countries,1GB
5,202,4 - Friends and fof that have been to countries,1GB
6,159,4 - Friends and fof that have been to countries,1GB
7,153,4 - Friends and fof that have been to countries,1GB
8,153,4 - Friends and fof that have been to countries,1GB
9,238,4 - Friends and fof that have been to countries,1GB
10,250,4 - Friends and fof that have been to countries,1GB
11,200,4 - Friends and fof that have been to countries,1GB
12,198,4 - Friends and fof that have been to countries,1GB
13,92,4 - Friends and fof that have been to countries,1GB
14,62,4 - Friends and fof that have been to countries,1GB
15,66,4 - Friends and fof that have been to countries,1GB
16,63,4 - Friends and fof that have been to countries,1GB
1,869,4 - Friends and fof that have been to countries,2GB
2,274,4 - Friends and fof that have been to countries,2GB
3,246,4 - Friends and fof that have been to countries,2GB
4,257,4 - Friends and fof that have been to countries,2GB
5,201,4 - Friends and fof that have been to countries,2GB
6,151,4 - Friends and fof that have been to countries,2GB
7,149,4 - Friends and fof that have been to countries,2GB
8,152,4 - Friends and fof that have been to countries,2GB
9,241,4 - Friends and fof that have been to countries,2GB
10,209,4 - Friends and fof that have been to countries,2GB
11,200,4 - Friends and fof that have been to countries,2GB
12,197,4 - Friends and fof that have been to countries,2GB
13,97,4 - Friends and fof that have been to countries,2GB
14,62,4 - Friends and fof that have been to countries,2GB
15,62,4 - Friends and fof that have been to countries,2GB
16,63,4 - Friends and fof that have been to countries,2GB
1,886,4 - Friends and fof that have been to countries,4GB
2,281,4 - Friends and fof that have been to countries,4GB
3,251,4 - Friends and fof that have been to countries,4GB
4,258,4 - Friends and fof that have been to countries,4GB
5,205,4 - Friends and fof that have been to countries,4GB
6,158,4 - Friends and fof that have been to countries,4GB
7,152,4 - Friends and fof that have been to countries,4GB
8,155,4 - Friends and fof that have been to countries,4GB
9,255,4 - Friends and fof that have been to countries,4GB
10,217,4 - Friends and fof that have been to countries,4GB
11,206,4 - Friends and fof that have been to countries,4GB
12,205,4 - Friends and fof that have been to countries,4GB
13,92,4 - Friends and fof that have been to countries,4GB
14,65,4 - Friends and fof that have been to countries,4GB
15,64,4 - Friends and fof that have been to countries,4GB
16,66,4 - Friends and fof that have been to countries,4GB
1,907,4 - Friends and fof that have been to countries,8GB
2,283,4 - Friends and fof that have been to countries,8GB
3,246,4 - Friends and fof that have been to countries,8GB
4,255,4 - Friends and fof that have been to countries,8GB
5,204,4 - Friends and fof that have been to countries,8GB
6,157,4 - Friends and fof that have been to countries,8GB
7,152,4 - Friends and fof that have been to countries,8GB
8,151,4 - Friends and fof that have been to countries,8GB
9,237,4 - Friends and fof that have been to countries,8GB
10,216,4 - Friends and fof that have been to countries,8GB
11,211,4 - Friends and fof that have been to countries,8GB
12,209,4 - Friends and fof that have been to countries,8GB
13,90,4 - Friends and fof that have been to countries,8GB
14,75,4 - Friends and fof that have been to countries,8GB
15,63,4 - Friends and fof that have been to countries,8GB
16,63,4 - Friends and fof that have been to countries,8GB
