experiment_index,elapsed,label,experiment
1,283,5 - Shortest path,default
2,3,5 - Shortest path,default
3,4,5 - Shortest path,default
4,3,5 - Shortest path,default
5,10,5 - Shortest path,default
6,3,5 - Shortest path,default
7,4,5 - Shortest path,default
8,3,5 - Shortest path,default
9,10,5 - Shortest path,default
10,4,5 - Shortest path,default
11,4,5 - Shortest path,default
12,5,5 - Shortest path,default
13,11,5 - Shortest path,default
14,4,5 - Shortest path,default
15,3,5 - Shortest path,default
16,3,5 - Shortest path,default
1,106,5 - Shortest path,1GB
2,4,5 - Shortest path,1GB
3,3,5 - Shortest path,1GB
4,3,5 - Shortest path,1GB
5,10,5 - Shortest path,1GB
6,4,5 - Shortest path,1GB
7,3,5 - Shortest path,1GB
8,3,5 - Shortest path,1GB
9,10,5 - Shortest path,1GB
10,4,5 - Shortest path,1GB
11,4,5 - Shortest path,1GB
12,3,5 - Shortest path,1GB
13,10,5 - Shortest path,1GB
14,3,5 - Shortest path,1GB
15,3,5 - Shortest path,1GB
16,3,5 - Shortest path,1GB
1,108,5 - Shortest path,2GB
2,3,5 - Shortest path,2GB
3,3,5 - Shortest path,2GB
4,3,5 - Shortest path,2GB
5,10,5 - Shortest path,2GB
6,3,5 - Shortest path,2GB
7,3,5 - Shortest path,2GB
8,3,5 - Shortest path,2GB
9,10,5 - Shortest path,2GB
10,4,5 - Shortest path,2GB
11,3,5 - Shortest path,2GB
12,3,5 - Shortest path,2GB
13,10,5 - Shortest path,2GB
14,3,5 - Shortest path,2GB
15,3,5 - Shortest path,2GB
16,4,5 - Shortest path,2GB
1,108,5 - Shortest path,4GB
2,3,5 - Shortest path,4GB
3,3,5 - Shortest path,4GB
4,4,5 - Shortest path,4GB
5,10,5 - Shortest path,4GB
6,4,5 - Shortest path,4GB
7,3,5 - Shortest path,4GB
8,4,5 - Shortest path,4GB
9,10,5 - Shortest path,4GB
10,4,5 - Shortest path,4GB
11,4,5 - Shortest path,4GB
12,3,5 - Shortest path,4GB
13,11,5 - Shortest path,4GB
14,4,5 - Shortest path,4GB
15,6,5 - Shortest path,4GB
16,3,5 - Shortest path,4GB
1,111,5 - Shortest path,8GB
2,3,5 - Shortest path,8GB
3,3,5 - Shortest path,8GB
4,3,5 - Shortest path,8GB
5,11,5 - Shortest path,8GB
6,3,5 - Shortest path,8GB
7,4,5 - Shortest path,8GB
8,3,5 - Shortest path,8GB
9,10,5 - Shortest path,8GB
10,4,5 - Shortest path,8GB
11,3,5 - Shortest path,8GB
12,3,5 - Shortest path,8GB
13,9,5 - Shortest path,8GB
14,3,5 - Shortest path,8GB
15,3,5 - Shortest path,8GB
16,4,5 - Shortest path,8GB
