experiment_index,elapsed,label,experiment
1,251,6.1 - K shortest paths,default
2,28,6.1 - K shortest paths,default
3,27,6.1 - K shortest paths,default
4,29,6.1 - K shortest paths,default
5,33,6.1 - K shortest paths,default
6,22,6.1 - K shortest paths,default
7,21,6.1 - K shortest paths,default
8,21,6.1 - K shortest paths,default
9,62,6.1 - K shortest paths,default
10,50,6.1 - K shortest paths,default
11,49,6.1 - K shortest paths,default
12,51,6.1 - K shortest paths,default
13,61,6.1 - K shortest paths,default
14,49,6.1 - K shortest paths,default
15,46,6.1 - K shortest paths,default
16,46,6.1 - K shortest paths,default
1,184,6.1 - K shortest paths,1GB
2,34,6.1 - K shortest paths,1GB
3,28,6.1 - K shortest paths,1GB
4,28,6.1 - K shortest paths,1GB
5,35,6.1 - K shortest paths,1GB
6,22,6.1 - K shortest paths,1GB
7,23,6.1 - K shortest paths,1GB
8,22,6.1 - K shortest paths,1GB
9,63,6.1 - K shortest paths,1GB
10,52,6.1 - K shortest paths,1GB
11,55,6.1 - K shortest paths,1GB
12,51,6.1 - K shortest paths,1GB
13,66,6.1 - K shortest paths,1GB
14,49,6.1 - K shortest paths,1GB
15,51,6.1 - K shortest paths,1GB
16,49,6.1 - K shortest paths,1GB
1,174,6.1 - K shortest paths,2GB
2,33,6.1 - K shortest paths,2GB
3,29,6.1 - K shortest paths,2GB
4,30,6.1 - K shortest paths,2GB
5,37,6.1 - K shortest paths,2GB
6,23,6.1 - K shortest paths,2GB
7,23,6.1 - K shortest paths,2GB
8,23,6.1 - K shortest paths,2GB
9,64,6.1 - K shortest paths,2GB
10,54,6.1 - K shortest paths,2GB
11,55,6.1 - K shortest paths,2GB
12,53,6.1 - K shortest paths,2GB
13,62,6.1 - K shortest paths,2GB
14,50,6.1 - K shortest paths,2GB
15,48,6.1 - K shortest paths,2GB
16,48,6.1 - K shortest paths,2GB
1,193,6.1 - K shortest paths,4GB
2,35,6.1 - K shortest paths,4GB
3,28,6.1 - K shortest paths,4GB
4,27,6.1 - K shortest paths,4GB
5,38,6.1 - K shortest paths,4GB
6,23,6.1 - K shortest paths,4GB
7,21,6.1 - K shortest paths,4GB
8,23,6.1 - K shortest paths,4GB
9,64,6.1 - K shortest paths,4GB
10,53,6.1 - K shortest paths,4GB
11,52,6.1 - K shortest paths,4GB
12,53,6.1 - K shortest paths,4GB
13,60,6.1 - K shortest paths,4GB
14,48,6.1 - K shortest paths,4GB
15,48,6.1 - K shortest paths,4GB
16,49,6.1 - K shortest paths,4GB
1,184,6.1 - K shortest paths,8GB
2,31,6.1 - K shortest paths,8GB
3,26,6.1 - K shortest paths,8GB
4,28,6.1 - K shortest paths,8GB
5,34,6.1 - K shortest paths,8GB
6,23,6.1 - K shortest paths,8GB
7,22,6.1 - K shortest paths,8GB
8,22,6.1 - K shortest paths,8GB
9,63,6.1 - K shortest paths,8GB
10,53,6.1 - K shortest paths,8GB
11,55,6.1 - K shortest paths,8GB
12,78,6.1 - K shortest paths,8GB
13,60,6.1 - K shortest paths,8GB
14,47,6.1 - K shortest paths,8GB
15,46,6.1 - K shortest paths,8GB
16,48,6.1 - K shortest paths,8GB
