experiment_index,elapsed,label,experiment
1,113,8 - Recent messages by your friends,default
2,37,8 - Recent messages by your friends,default
3,36,8 - Recent messages by your friends,default
4,23,8 - Recent messages by your friends,default
5,32,8 - Recent messages by your friends,default
6,21,8 - Recent messages by your friends,default
7,22,8 - Recent messages by your friends,default
8,21,8 - Recent messages by your friends,default
9,65,8 - Recent messages by your friends,default
10,49,8 - Recent messages by your friends,default
11,50,8 - Recent messages by your friends,default
12,49,8 - Recent messages by your friends,default
13,15,8 - Recent messages by your friends,default
14,6,8 - Recent messages by your friends,default
15,5,8 - Recent messages by your friends,default
16,5,8 - Recent messages by your friends,default
1,110,8 - Recent messages by your friends,1GB
2,50,8 - Recent messages by your friends,1GB
3,36,8 - Recent messages by your friends,1GB
4,24,8 - Recent messages by your friends,1GB
5,31,8 - Recent messages by your friends,1GB
6,21,8 - Recent messages by your friends,1GB
7,21,8 - Recent messages by your friends,1GB
8,21,8 - Recent messages by your friends,1GB
9,60,8 - Recent messages by your friends,1GB
10,50,8 - Recent messages by your friends,1GB
11,51,8 - Recent messages by your friends,1GB
12,51,8 - Recent messages by your friends,1GB
13,16,8 - Recent messages by your friends,1GB
14,7,8 - Recent messages by your friends,1GB
15,6,8 - Recent messages by your friends,1GB
16,5,8 - Recent messages by your friends,1GB
1,106,8 - Recent messages by your friends,2GB
2,36,8 - Recent messages by your friends,2GB
3,40,8 - Recent messages by your friends,2GB
4,28,8 - Recent messages by your friends,2GB
5,32,8 - Recent messages by your friends,2GB
6,22,8 - Recent messages by your friends,2GB
7,22,8 - Recent messages by your friends,2GB
8,22,8 - Recent messages by your friends,2GB
9,60,8 - Recent messages by your friends,2GB
10,52,8 - Recent messages by your friends,2GB
11,51,8 - Recent messages by your friends,2GB
12,51,8 - Recent messages by your friends,2GB
13,15,8 - Recent messages by your friends,2GB
14,6,8 - Recent messages by your friends,2GB
15,5,8 - Recent messages by your friends,2GB
16,5,8 - Recent messages by your friends,2GB
1,107,8 - Recent messages by your friends,4GB
2,37,8 - Recent messages by your friends,4GB
3,35,8 - Recent messages by your friends,4GB
4,23,8 - Recent messages by your friends,4GB
5,33,8 - Recent messages by your friends,4GB
6,23,8 - Recent messages by your friends,4GB
7,22,8 - Recent messages by your friends,4GB
8,23,8 - Recent messages by your friends,4GB
9,62,8 - Recent messages by your friends,4GB
10,51,8 - Recent messages by your friends,4GB
11,52,8 - Recent messages by your friends,4GB
12,53,8 - Recent messages by your friends,4GB
13,14,8 - Recent messages by your friends,4GB
14,6,8 - Recent messages by your friends,4GB
15,6,8 - Recent messages by your friends,4GB
16,4,8 - Recent messages by your friends,4GB
1,104,8 - Recent messages by your friends,8GB
2,38,8 - Recent messages by your friends,8GB
3,36,8 - Recent messages by your friends,8GB
4,29,8 - Recent messages by your friends,8GB
5,34,8 - Recent messages by your friends,8GB
6,26,8 - Recent messages by your friends,8GB
7,25,8 - Recent messages by your friends,8GB
8,24,8 - Recent messages by your friends,8GB
9,66,8 - Recent messages by your friends,8GB
10,54,8 - Recent messages by your friends,8GB
11,54,8 - Recent messages by your friends,8GB
12,47,8 - Recent messages by your friends,8GB
13,14,8 - Recent messages by your friends,8GB
14,6,8 - Recent messages by your friends,8GB
15,5,8 - Recent messages by your friends,8GB
16,4,8 - Recent messages by your friends,8GB
