experiment_index,elapsed,label,experiment
1,464,9 - Friends recommendation,default
2,109,9 - Friends recommendation,default
3,94,9 - Friends recommendation,default
4,103,9 - Friends recommendation,default
5,81,9 - Friends recommendation,default
6,27,9 - Friends recommendation,default
7,25,9 - Friends recommendation,default
8,26,9 - Friends recommendation,default
9,37,9 - Friends recommendation,default
10,11,9 - Friends recommendation,default
11,11,9 - Friends recommendation,default
12,11,9 - Friends recommendation,default
13,50,9 - Friends recommendation,default
14,27,9 - Friends recommendation,default
15,28,9 - Friends recommendation,default
16,25,9 - Friends recommendation,default
1,472,9 - Friends recommendation,1GB
2,110,9 - Friends recommendation,1GB
3,96,9 - Friends recommendation,1GB
4,109,9 - Friends recommendation,1GB
5,82,9 - Friends recommendation,1GB
6,29,9 - Friends recommendation,1GB
7,28,9 - Friends recommendation,1GB
8,26,9 - Friends recommendation,1GB
9,37,9 - Friends recommendation,1GB
10,11,9 - Friends recommendation,1GB
11,11,9 - Friends recommendation,1GB
12,12,9 - Friends recommendation,1GB
13,51,9 - Friends recommendation,1GB
14,29,9 - Friends recommendation,1GB
15,28,9 - Friends recommendation,1GB
16,25,9 - Friends recommendation,1GB
1,469,9 - Friends recommendation,2GB
2,122,9 - Friends recommendation,2GB
3,131,9 - Friends recommendation,2GB
4,89,9 - Friends recommendation,2GB
5,55,9 - Friends recommendation,2GB
6,25,9 - Friends recommendation,2GB
7,24,9 - Friends recommendation,2GB
8,26,9 - Friends recommendation,2GB
9,35,9 - Friends recommendation,2GB
10,11,9 - Friends recommendation,2GB
11,11,9 - Friends recommendation,2GB
12,11,9 - Friends recommendation,2GB
13,48,9 - Friends recommendation,2GB
14,27,9 - Friends recommendation,2GB
15,28,9 - Friends recommendation,2GB
16,28,9 - Friends recommendation,2GB
1,477,9 - Friends recommendation,4GB
2,132,9 - Friends recommendation,4GB
3,126,9 - Friends recommendation,4GB
4,87,9 - Friends recommendation,4GB
5,53,9 - Friends recommendation,4GB
6,26,9 - Friends recommendation,4GB
7,26,9 - Friends recommendation,4GB
8,25,9 - Friends recommendation,4GB
9,35,9 - Friends recommendation,4GB
10,11,9 - Friends recommendation,4GB
11,11,9 - Friends recommendation,4GB
12,11,9 - Friends recommendation,4GB
13,50,9 - Friends recommendation,4GB
14,25,9 - Friends recommendation,4GB
15,25,9 - Friends recommendation,4GB
16,27,9 - Friends recommendation,4GB
1,488,9 - Friends recommendation,8GB
2,142,9 - Friends recommendation,8GB
3,95,9 - Friends recommendation,8GB
4,88,9 - Friends recommendation,8GB
5,55,9 - Friends recommendation,8GB
6,27,9 - Friends recommendation,8GB
7,27,9 - Friends recommendation,8GB
8,25,9 - Friends recommendation,8GB
9,36,9 - Friends recommendation,8GB
10,11,9 - Friends recommendation,8GB
11,10,9 - Friends recommendation,8GB
12,11,9 - Friends recommendation,8GB
13,51,9 - Friends recommendation,8GB
14,25,9 - Friends recommendation,8GB
15,26,9 - Friends recommendation,8GB
16,25,9 - Friends recommendation,8GB
