experiment_index,elapsed,label,experiment
1,123,7 - Forum of a message,default
2,5,7 - Forum of a message,default
3,4,7 - Forum of a message,default
4,4,7 - Forum of a message,default
5,14,7 - Forum of a message,default
6,4,7 - Forum of a message,default
7,3,7 - Forum of a message,default
8,3,7 - Forum of a message,default
9,15,7 - Forum of a message,default
10,3,7 - Forum of a message,default
11,3,7 - Forum of a message,default
12,3,7 - Forum of a message,default
13,14,7 - Forum of a message,default
14,4,7 - Forum of a message,default
15,3,7 - Forum of a message,default
16,3,7 - Forum of a message,default
1,115,7 - Forum of a message,1GB
2,4,7 - Forum of a message,1GB
3,4,7 - Forum of a message,1GB
4,5,7 - Forum of a message,1GB
5,16,7 - Forum of a message,1GB
6,5,7 - Forum of a message,1GB
7,4,7 - Forum of a message,1GB
8,5,7 - Forum of a message,1GB
9,15,7 - Forum of a message,1GB
10,3,7 - Forum of a message,1GB
11,3,7 - Forum of a message,1GB
12,4,7 - Forum of a message,1GB
13,14,7 - Forum of a message,1GB
14,4,7 - Forum of a message,1GB
15,3,7 - Forum of a message,1GB
16,3,7 - Forum of a message,1GB
1,125,7 - Forum of a message,2GB
2,4,7 - Forum of a message,2GB
3,4,7 - Forum of a message,2GB
4,4,7 - Forum of a message,2GB
5,17,7 - Forum of a message,2GB
6,3,7 - Forum of a message,2GB
7,4,7 - Forum of a message,2GB
8,3,7 - Forum of a message,2GB
9,15,7 - Forum of a message,2GB
10,4,7 - Forum of a message,2GB
11,4,7 - Forum of a message,2GB
12,3,7 - Forum of a message,2GB
13,15,7 - Forum of a message,2GB
14,4,7 - Forum of a message,2GB
15,3,7 - Forum of a message,2GB
16,4,7 - Forum of a message,2GB
1,128,7 - Forum of a message,4GB
2,4,7 - Forum of a message,4GB
3,5,7 - Forum of a message,4GB
4,4,7 - Forum of a message,4GB
5,16,7 - Forum of a message,4GB
6,3,7 - Forum of a message,4GB
7,4,7 - Forum of a message,4GB
8,4,7 - Forum of a message,4GB
9,14,7 - Forum of a message,4GB
10,4,7 - Forum of a message,4GB
11,4,7 - Forum of a message,4GB
12,4,7 - Forum of a message,4GB
13,14,7 - Forum of a message,4GB
14,3,7 - Forum of a message,4GB
15,3,7 - Forum of a message,4GB
16,3,7 - Forum of a message,4GB
1,116,7 - Forum of a message,8GB
2,4,7 - Forum of a message,8GB
3,4,7 - Forum of a message,8GB
4,3,7 - Forum of a message,8GB
5,15,7 - Forum of a message,8GB
6,3,7 - Forum of a message,8GB
7,4,7 - Forum of a message,8GB
8,4,7 - Forum of a message,8GB
9,15,7 - Forum of a message,8GB
10,4,7 - Forum of a message,8GB
11,4,7 - Forum of a message,8GB
12,3,7 - Forum of a message,8GB
13,15,7 - Forum of a message,8GB
14,4,7 - Forum of a message,8GB
15,3,7 - Forum of a message,8GB
16,3,7 - Forum of a message,8GB
