experiment_index,elapsed,label,experiment
1,128,8 - Recent messages by your friends,default
2,21,8 - Recent messages by your friends,default
3,21,8 - Recent messages by your friends,default
4,23,8 - Recent messages by your friends,default
5,61,8 - Recent messages by your friends,default
6,18,8 - Recent messages by your friends,default
7,14,8 - Recent messages by your friends,default
8,13,8 - Recent messages by your friends,default
9,52,8 - Recent messages by your friends,default
10,18,8 - Recent messages by your friends,default
11,25,8 - Recent messages by your friends,default
12,24,8 - Recent messages by your friends,default
13,88,8 - Recent messages by your friends,default
14,31,8 - Recent messages by your friends,default
15,28,8 - Recent messages by your friends,default
16,27,8 - Recent messages by your friends,default
1,89,8 - Recent messages by your friends,1GB
2,22,8 - Recent messages by your friends,1GB
3,21,8 - Recent messages by your friends,1GB
4,21,8 - Recent messages by your friends,1GB
5,29,8 - Recent messages by your friends,1GB
6,18,8 - Recent messages by your friends,1GB
7,14,8 - Recent messages by your friends,1GB
8,13,8 - Recent messages by your friends,1GB
9,26,8 - Recent messages by your friends,1GB
10,17,8 - Recent messages by your friends,1GB
11,17,8 - Recent messages by your friends,1GB
12,18,8 - Recent messages by your friends,1GB
13,37,8 - Recent messages by your friends,1GB
14,28,8 - Recent messages by your friends,1GB
15,27,8 - Recent messages by your friends,1GB
16,26,8 - Recent messages by your friends,1GB
1,90,8 - Recent messages by your friends,2GB
2,21,8 - Recent messages by your friends,2GB
3,21,8 - Recent messages by your friends,2GB
4,20,8 - Recent messages by your friends,2GB
5,27,8 - Recent messages by your friends,2GB
6,18,8 - Recent messages by your friends,2GB
7,13,8 - Recent messages by your friends,2GB
8,13,8 - Recent messages by your friends,2GB
9,27,8 - Recent messages by your friends,2GB
10,17,8 - Recent messages by your friends,2GB
11,17,8 - Recent messages by your friends,2GB
12,18,8 - Recent messages by your friends,2GB
13,37,8 - Recent messages by your friends,2GB
14,28,8 - Recent messages by your friends,2GB
15,26,8 - Recent messages by your friends,2GB
16,25,8 - Recent messages by your friends,2GB
1,86,8 - Recent messages by your friends,4GB
2,22,8 - Recent messages by your friends,4GB
3,25,8 - Recent messages by your friends,4GB
4,20,8 - Recent messages by your friends,4GB
5,29,8 - Recent messages by your friends,4GB
6,25,8 - Recent messages by your friends,4GB
7,19,8 - Recent messages by your friends,4GB
8,19,8 - Recent messages by your friends,4GB
9,67,8 - Recent messages by your friends,4GB
10,23,8 - Recent messages by your friends,4GB
11,18,8 - Recent messages by your friends,4GB
12,19,8 - Recent messages by your friends,4GB
13,42,8 - Recent messages by your friends,4GB
14,29,8 - Recent messages by your friends,4GB
15,28,8 - Recent messages by your friends,4GB
16,28,8 - Recent messages by your friends,4GB
1,94,8 - Recent messages by your friends,8GB
2,21,8 - Recent messages by your friends,8GB
3,21,8 - Recent messages by your friends,8GB
4,20,8 - Recent messages by your friends,8GB
5,28,8 - Recent messages by your friends,8GB
6,16,8 - Recent messages by your friends,8GB
7,13,8 - Recent messages by your friends,8GB
8,12,8 - Recent messages by your friends,8GB
9,27,8 - Recent messages by your friends,8GB
10,37,8 - Recent messages by your friends,8GB
11,21,8 - Recent messages by your friends,8GB
12,25,8 - Recent messages by your friends,8GB
13,63,8 - Recent messages by your friends,8GB
14,28,8 - Recent messages by your friends,8GB
15,27,8 - Recent messages by your friends,8GB
16,26,8 - Recent messages by your friends,8GB
