experiment_index,elapsed,label,experiment
1,205,3 - Transitive friends - step 5,default
2,52,3 - Transitive friends - step 5,default
3,51,3 - Transitive friends - step 5,default
4,47,3 - Transitive friends - step 5,default
5,129,3 - Transitive friends - step 5,default
6,34,3 - Transitive friends - step 5,default
7,34,3 - Transitive friends - step 5,default
8,39,3 - Transitive friends - step 5,default
9,67,3 - Transitive friends - step 5,default
10,48,3 - Transitive friends - step 5,default
11,47,3 - Transitive friends - step 5,default
12,47,3 - Transitive friends - step 5,default
13,54,3 - Transitive friends - step 5,default
14,31,3 - Transitive friends - step 5,default
15,29,3 - Transitive friends - step 5,default
16,31,3 - Transitive friends - step 5,default
1,189,3 - Transitive friends - step 5,1GB
2,54,3 - Transitive friends - step 5,1GB
3,53,3 - Transitive friends - step 5,1GB
4,50,3 - Transitive friends - step 5,1GB
5,131,3 - Transitive friends - step 5,1GB
6,36,3 - Transitive friends - step 5,1GB
7,42,3 - Transitive friends - step 5,1GB
8,36,3 - Transitive friends - step 5,1GB
9,69,3 - Transitive friends - step 5,1GB
10,51,3 - Transitive friends - step 5,1GB
11,50,3 - Transitive friends - step 5,1GB
12,49,3 - Transitive friends - step 5,1GB
13,56,3 - Transitive friends - step 5,1GB
14,33,3 - Transitive friends - step 5,1GB
15,31,3 - Transitive friends - step 5,1GB
16,31,3 - Transitive friends - step 5,1GB
1,186,3 - Transitive friends - step 5,2GB
2,54,3 - Transitive friends - step 5,2GB
3,53,3 - Transitive friends - step 5,2GB
4,49,3 - Transitive friends - step 5,2GB
5,131,3 - Transitive friends - step 5,2GB
6,36,3 - Transitive friends - step 5,2GB
7,35,3 - Transitive friends - step 5,2GB
8,36,3 - Transitive friends - step 5,2GB
9,67,3 - Transitive friends - step 5,2GB
10,48,3 - Transitive friends - step 5,2GB
11,49,3 - Transitive friends - step 5,2GB
12,53,3 - Transitive friends - step 5,2GB
13,50,3 - Transitive friends - step 5,2GB
14,31,3 - Transitive friends - step 5,2GB
15,31,3 - Transitive friends - step 5,2GB
16,34,3 - Transitive friends - step 5,2GB
1,187,3 - Transitive friends - step 5,4GB
2,56,3 - Transitive friends - step 5,4GB
3,56,3 - Transitive friends - step 5,4GB
4,51,3 - Transitive friends - step 5,4GB
5,132,3 - Transitive friends - step 5,4GB
6,36,3 - Transitive friends - step 5,4GB
7,37,3 - Transitive friends - step 5,4GB
8,46,3 - Transitive friends - step 5,4GB
9,72,3 - Transitive friends - step 5,4GB
10,52,3 - Transitive friends - step 5,4GB
11,51,3 - Transitive friends - step 5,4GB
12,51,3 - Transitive friends - step 5,4GB
13,52,3 - Transitive friends - step 5,4GB
14,32,3 - Transitive friends - step 5,4GB
15,32,3 - Transitive friends - step 5,4GB
16,31,3 - Transitive friends - step 5,4GB
1,188,3 - Transitive friends - step 5,8GB
2,57,3 - Transitive friends - step 5,8GB
3,55,3 - Transitive friends - step 5,8GB
4,49,3 - Transitive friends - step 5,8GB
5,132,3 - Transitive friends - step 5,8GB
6,35,3 - Transitive friends - step 5,8GB
7,40,3 - Transitive friends - step 5,8GB
8,35,3 - Transitive friends - step 5,8GB
9,69,3 - Transitive friends - step 5,8GB
10,49,3 - Transitive friends - step 5,8GB
11,52,3 - Transitive friends - step 5,8GB
12,48,3 - Transitive friends - step 5,8GB
13,51,3 - Transitive friends - step 5,8GB
14,31,3 - Transitive friends - step 5,8GB
15,31,3 - Transitive friends - step 5,8GB
16,33,3 - Transitive friends - step 5,8GB
