experiment_index,elapsed,label,experiment
1,217,5 - Shortest path,default
2,5,5 - Shortest path,default
3,4,5 - Shortest path,default
4,4,5 - Shortest path,default
5,16,5 - Shortest path,default
6,6,5 - Shortest path,default
7,4,5 - Shortest path,default
8,5,5 - Shortest path,default
9,15,5 - Shortest path,default
10,5,5 - Shortest path,default
11,4,5 - Shortest path,default
12,5,5 - Shortest path,default
13,14,5 - Shortest path,default
14,4,5 - Shortest path,default
15,4,5 - Shortest path,default
16,5,5 - Shortest path,default
1,183,5 - Shortest path,1GB
2,5,5 - Shortest path,1GB
3,5,5 - Shortest path,1GB
4,5,5 - Shortest path,1GB
5,13,5 - Shortest path,1GB
6,5,5 - Shortest path,1GB
7,4,5 - Shortest path,1GB
8,5,5 - Shortest path,1GB
9,13,5 - Shortest path,1GB
10,4,5 - Shortest path,1GB
11,4,5 - Shortest path,1GB
12,4,5 - Shortest path,1GB
13,12,5 - Shortest path,1GB
14,4,5 - Shortest path,1GB
15,4,5 - Shortest path,1GB
16,4,5 - Shortest path,1GB
1,111,5 - Shortest path,2GB
2,4,5 - Shortest path,2GB
3,4,5 - Shortest path,2GB
4,3,5 - Shortest path,2GB
5,11,5 - Shortest path,2GB
6,4,5 - Shortest path,2GB
7,3,5 - Shortest path,2GB
8,4,5 - Shortest path,2GB
9,11,5 - Shortest path,2GB
10,4,5 - Shortest path,2GB
11,4,5 - Shortest path,2GB
12,4,5 - Shortest path,2GB
13,10,5 - Shortest path,2GB
14,3,5 - Shortest path,2GB
15,4,5 - Shortest path,2GB
16,3,5 - Shortest path,2GB
1,123,5 - Shortest path,4GB
2,5,5 - Shortest path,4GB
3,3,5 - Shortest path,4GB
4,4,5 - Shortest path,4GB
5,11,5 - Shortest path,4GB
6,4,5 - Shortest path,4GB
7,3,5 - Shortest path,4GB
8,4,5 - Shortest path,4GB
9,11,5 - Shortest path,4GB
10,4,5 - Shortest path,4GB
11,4,5 - Shortest path,4GB
12,4,5 - Shortest path,4GB
13,11,5 - Shortest path,4GB
14,4,5 - Shortest path,4GB
15,3,5 - Shortest path,4GB
16,4,5 - Shortest path,4GB
1,109,5 - Shortest path,8GB
2,5,5 - Shortest path,8GB
3,3,5 - Shortest path,8GB
4,3,5 - Shortest path,8GB
5,11,5 - Shortest path,8GB
6,4,5 - Shortest path,8GB
7,3,5 - Shortest path,8GB
8,3,5 - Shortest path,8GB
9,10,5 - Shortest path,8GB
10,4,5 - Shortest path,8GB
11,3,5 - Shortest path,8GB
12,3,5 - Shortest path,8GB
13,10,5 - Shortest path,8GB
14,4,5 - Shortest path,8GB
15,3,5 - Shortest path,8GB
16,4,5 - Shortest path,8GB
