experiment_index,elapsed,label,experiment
1,381,6.1 - K shortest paths,default
2,81,6.1 - K shortest paths,default
3,60,6.1 - K shortest paths,default
4,58,6.1 - K shortest paths,default
5,105,6.1 - K shortest paths,default
6,119,6.1 - K shortest paths,default
7,102,6.1 - K shortest paths,default
8,88,6.1 - K shortest paths,default
9,81,6.1 - K shortest paths,default
10,61,6.1 - K shortest paths,default
11,59,6.1 - K shortest paths,default
12,57,6.1 - K shortest paths,default
13,91,6.1 - K shortest paths,default
14,68,6.1 - K shortest paths,default
15,66,6.1 - K shortest paths,default
16,67,6.1 - K shortest paths,default
1,312,6.1 - K shortest paths,1GB
2,62,6.1 - K shortest paths,1GB
3,69,6.1 - K shortest paths,1GB
4,58,6.1 - K shortest paths,1GB
5,114,6.1 - K shortest paths,1GB
6,116,6.1 - K shortest paths,1GB
7,100,6.1 - K shortest paths,1GB
8,104,6.1 - K shortest paths,1GB
9,73,6.1 - K shortest paths,1GB
10,68,6.1 - K shortest paths,1GB
11,67,6.1 - K shortest paths,1GB
12,60,6.1 - K shortest paths,1GB
13,80,6.1 - K shortest paths,1GB
14,72,6.1 - K shortest paths,1GB
15,68,6.1 - K shortest paths,1GB
16,66,6.1 - K shortest paths,1GB
1,283,6.1 - K shortest paths,2GB
2,71,6.1 - K shortest paths,2GB
3,62,6.1 - K shortest paths,2GB
4,58,6.1 - K shortest paths,2GB
5,114,6.1 - K shortest paths,2GB
6,118,6.1 - K shortest paths,2GB
7,97,6.1 - K shortest paths,2GB
8,94,6.1 - K shortest paths,2GB
9,70,6.1 - K shortest paths,2GB
10,66,6.1 - K shortest paths,2GB
11,59,6.1 - K shortest paths,2GB
12,59,6.1 - K shortest paths,2GB
13,77,6.1 - K shortest paths,2GB
14,65,6.1 - K shortest paths,2GB
15,67,6.1 - K shortest paths,2GB
16,66,6.1 - K shortest paths,2GB
1,282,6.1 - K shortest paths,4GB
2,77,6.1 - K shortest paths,4GB
3,62,6.1 - K shortest paths,4GB
4,54,6.1 - K shortest paths,4GB
5,108,6.1 - K shortest paths,4GB
6,124,6.1 - K shortest paths,4GB
7,92,6.1 - K shortest paths,4GB
8,92,6.1 - K shortest paths,4GB
9,69,6.1 - K shortest paths,4GB
10,59,6.1 - K shortest paths,4GB
11,69,6.1 - K shortest paths,4GB
12,58,6.1 - K shortest paths,4GB
13,75,6.1 - K shortest paths,4GB
14,64,6.1 - K shortest paths,4GB
15,65,6.1 - K shortest paths,4GB
16,63,6.1 - K shortest paths,4GB
1,282,6.1 - K shortest paths,8GB
2,76,6.1 - K shortest paths,8GB
3,76,6.1 - K shortest paths,8GB
4,57,6.1 - K shortest paths,8GB
5,102,6.1 - K shortest paths,8GB
6,106,6.1 - K shortest paths,8GB
7,88,6.1 - K shortest paths,8GB
8,86,6.1 - K shortest paths,8GB
9,70,6.1 - K shortest paths,8GB
10,59,6.1 - K shortest paths,8GB
11,60,6.1 - K shortest paths,8GB
12,59,6.1 - K shortest paths,8GB
13,78,6.1 - K shortest paths,8GB
14,66,6.1 - K shortest paths,8GB
15,71,6.1 - K shortest paths,8GB
16,67,6.1 - K shortest paths,8GB
