experiment_index,elapsed,label,experiment
1,29199,3 - Transitive friends - step 5,default
2,29654,3 - Transitive friends - step 5,default
3,29982,3 - Transitive friends - step 5,default
4,30893,3 - Transitive friends - step 5,default
5,184,3 - Transitive friends - step 5,default
6,40,3 - Transitive friends - step 5,default
7,40,3 - Transitive friends - step 5,default
8,38,3 - Transitive friends - step 5,default
9,1185,3 - Transitive friends - step 5,default
10,1177,3 - Transitive friends - step 5,default
11,1283,3 - Transitive friends - step 5,default
12,1425,3 - Transitive friends - step 5,default
13,8662,3 - Transitive friends - step 5,default
14,8815,3 - Transitive friends - step 5,default
15,8817,3 - Transitive friends - step 5,default
16,8785,3 - Transitive friends - step 5,default
1,30196,3 - Transitive friends - step 5,1GB
2,30584,3 - Transitive friends - step 5,1GB
3,30805,3 - Transitive friends - step 5,1GB
4,30727,3 - Transitive friends - step 5,1GB
5,186,3 - Transitive friends - step 5,1GB
6,40,3 - Transitive friends - step 5,1GB
7,40,3 - Transitive friends - step 5,1GB
8,40,3 - Transitive friends - step 5,1GB
9,1180,3 - Transitive friends - step 5,1GB
10,1623,3 - Transitive friends - step 5,1GB
11,1174,3 - Transitive friends - step 5,1GB
12,1189,3 - Transitive friends - step 5,1GB
13,8684,3 - Transitive friends - step 5,1GB
14,8772,3 - Transitive friends - step 5,1GB
15,8851,3 - Transitive friends - step 5,1GB
16,8805,3 - Transitive friends - step 5,1GB
1,30205,3 - Transitive friends - step 5,2GB
2,30683,3 - Transitive friends - step 5,2GB
3,32087,3 - Transitive friends - step 5,2GB
4,30811,3 - Transitive friends - step 5,2GB
5,220,3 - Transitive friends - step 5,2GB
6,39,3 - Transitive friends - step 5,2GB
7,39,3 - Transitive friends - step 5,2GB
8,40,3 - Transitive friends - step 5,2GB
9,1184,3 - Transitive friends - step 5,2GB
10,1175,3 - Transitive friends - step 5,2GB
11,1169,3 - Transitive friends - step 5,2GB
12,1665,3 - Transitive friends - step 5,2GB
13,8658,3 - Transitive friends - step 5,2GB
14,8786,3 - Transitive friends - step 5,2GB
15,8751,3 - Transitive friends - step 5,2GB
16,8835,3 - Transitive friends - step 5,2GB
1,30212,3 - Transitive friends - step 5,4GB
2,30864,3 - Transitive friends - step 5,4GB
3,30857,3 - Transitive friends - step 5,4GB
4,32157,3 - Transitive friends - step 5,4GB
5,210,3 - Transitive friends - step 5,4GB
6,40,3 - Transitive friends - step 5,4GB
7,40,3 - Transitive friends - step 5,4GB
8,43,3 - Transitive friends - step 5,4GB
9,949,3 - Transitive friends - step 5,4GB
10,985,3 - Transitive friends - step 5,4GB
11,978,3 - Transitive friends - step 5,4GB
12,969,3 - Transitive friends - step 5,4GB
13,8667,3 - Transitive friends - step 5,4GB
14,8765,3 - Transitive friends - step 5,4GB
15,8884,3 - Transitive friends - step 5,4GB
16,8791,3 - Transitive friends - step 5,4GB
1,30251,3 - Transitive friends - step 5,8GB
2,30962,3 - Transitive friends - step 5,8GB
3,30431,3 - Transitive friends - step 5,8GB
4,30716,3 - Transitive friends - step 5,8GB
5,207,3 - Transitive friends - step 5,8GB
6,40,3 - Transitive friends - step 5,8GB
7,42,3 - Transitive friends - step 5,8GB
8,43,3 - Transitive friends - step 5,8GB
9,947,3 - Transitive friends - step 5,8GB
10,981,3 - Transitive friends - step 5,8GB
11,982,3 - Transitive friends - step 5,8GB
12,979,3 - Transitive friends - step 5,8GB
13,8653,3 - Transitive friends - step 5,8GB
14,8795,3 - Transitive friends - step 5,8GB
15,8831,3 - Transitive friends - step 5,8GB
16,8748,3 - Transitive friends - step 5,8GB
