experiment_index,elapsed,label,experiment
1,200,4 - Friends and fof that have been to countries,default
2,146,4 - Friends and fof that have been to countries,default
3,228,4 - Friends and fof that have been to countries,default
4,141,4 - Friends and fof that have been to countries,default
5,249,4 - Friends and fof that have been to countries,default
6,174,4 - Friends and fof that have been to countries,default
7,171,4 - Friends and fof that have been to countries,default
8,174,4 - Friends and fof that have been to countries,default
9,147,4 - Friends and fof that have been to countries,default
10,147,4 - Friends and fof that have been to countries,default
11,145,4 - Friends and fof that have been to countries,default
12,150,4 - Friends and fof that have been to countries,default
13,229,4 - Friends and fof that have been to countries,default
14,151,4 - Friends and fof that have been to countries,default
15,155,4 - Friends and fof that have been to countries,default
16,222,4 - Friends and fof that have been to countries,default
1,215,4 - Friends and fof that have been to countries,1GB
2,143,4 - Friends and fof that have been to countries,1GB
3,142,4 - Friends and fof that have been to countries,1GB
4,138,4 - Friends and fof that have been to countries,1GB
5,168,4 - Friends and fof that have been to countries,1GB
6,167,4 - Friends and fof that have been to countries,1GB
7,165,4 - Friends and fof that have been to countries,1GB
8,166,4 - Friends and fof that have been to countries,1GB
9,142,4 - Friends and fof that have been to countries,1GB
10,216,4 - Friends and fof that have been to countries,1GB
11,142,4 - Friends and fof that have been to countries,1GB
12,142,4 - Friends and fof that have been to countries,1GB
13,150,4 - Friends and fof that have been to countries,1GB
14,148,4 - Friends and fof that have been to countries,1GB
15,229,4 - Friends and fof that have been to countries,1GB
16,147,4 - Friends and fof that have been to countries,1GB
1,225,4 - Friends and fof that have been to countries,2GB
2,145,4 - Friends and fof that have been to countries,2GB
3,140,4 - Friends and fof that have been to countries,2GB
4,139,4 - Friends and fof that have been to countries,2GB
5,175,4 - Friends and fof that have been to countries,2GB
6,171,4 - Friends and fof that have been to countries,2GB
7,166,4 - Friends and fof that have been to countries,2GB
8,241,4 - Friends and fof that have been to countries,2GB
9,235,4 - Friends and fof that have been to countries,2GB
10,142,4 - Friends and fof that have been to countries,2GB
11,144,4 - Friends and fof that have been to countries,2GB
12,146,4 - Friends and fof that have been to countries,2GB
13,310,4 - Friends and fof that have been to countries,2GB
14,148,4 - Friends and fof that have been to countries,2GB
15,227,4 - Friends and fof that have been to countries,2GB
16,151,4 - Friends and fof that have been to countries,2GB
1,322,4 - Friends and fof that have been to countries,4GB
2,145,4 - Friends and fof that have been to countries,4GB
3,145,4 - Friends and fof that have been to countries,4GB
4,141,4 - Friends and fof that have been to countries,4GB
5,168,4 - Friends and fof that have been to countries,4GB
6,167,4 - Friends and fof that have been to countries,4GB
7,235,4 - Friends and fof that have been to countries,4GB
8,169,4 - Friends and fof that have been to countries,4GB
9,218,4 - Friends and fof that have been to countries,4GB
10,143,4 - Friends and fof that have been to countries,4GB
11,142,4 - Friends and fof that have been to countries,4GB
12,235,4 - Friends and fof that have been to countries,4GB
13,224,4 - Friends and fof that have been to countries,4GB
14,157,4 - Friends and fof that have been to countries,4GB
15,150,4 - Friends and fof that have been to countries,4GB
16,149,4 - Friends and fof that have been to countries,4GB
1,298,4 - Friends and fof that have been to countries,8GB
2,140,4 - Friends and fof that have been to countries,8GB
3,230,4 - Friends and fof that have been to countries,8GB
4,140,4 - Friends and fof that have been to countries,8GB
5,169,4 - Friends and fof that have been to countries,8GB
6,225,4 - Friends and fof that have been to countries,8GB
7,237,4 - Friends and fof that have been to countries,8GB
8,174,4 - Friends and fof that have been to countries,8GB
9,142,4 - Friends and fof that have been to countries,8GB
10,147,4 - Friends and fof that have been to countries,8GB
11,142,4 - Friends and fof that have been to countries,8GB
12,143,4 - Friends and fof that have been to countries,8GB
13,221,4 - Friends and fof that have been to countries,8GB
14,153,4 - Friends and fof that have been to countries,8GB
15,153,4 - Friends and fof that have been to countries,8GB
16,151,4 - Friends and fof that have been to countries,8GB
