experiment_index,elapsed,label,experiment
1,45,5 - Shortest path,default
2,34,5 - Shortest path,default
3,33,5 - Shortest path,default
4,33,5 - Shortest path,default
5,33,5 - Shortest path,default
6,34,5 - Shortest path,default
7,36,5 - Shortest path,default
8,33,5 - Shortest path,default
9,35,5 - Shortest path,default
10,33,5 - Shortest path,default
11,34,5 - Shortest path,default
12,33,5 - Shortest path,default
13,34,5 - Shortest path,default
14,34,5 - Shortest path,default
15,33,5 - Shortest path,default
16,36,5 - Shortest path,default
1,43,5 - Shortest path,1GB
2,33,5 - Shortest path,1GB
3,35,5 - Shortest path,1GB
4,34,5 - Shortest path,1GB
5,34,5 - Shortest path,1GB
6,34,5 - Shortest path,1GB
7,34,5 - Shortest path,1GB
8,33,5 - Shortest path,1GB
9,34,5 - Shortest path,1GB
10,34,5 - Shortest path,1GB
11,34,5 - Shortest path,1GB
12,34,5 - Shortest path,1GB
13,34,5 - Shortest path,1GB
14,34,5 - Shortest path,1GB
15,34,5 - Shortest path,1GB
16,34,5 - Shortest path,1GB
1,44,5 - Shortest path,2GB
2,34,5 - Shortest path,2GB
3,34,5 - Shortest path,2GB
4,33,5 - Shortest path,2GB
5,34,5 - Shortest path,2GB
6,34,5 - Shortest path,2GB
7,33,5 - Shortest path,2GB
8,35,5 - Shortest path,2GB
9,35,5 - Shortest path,2GB
10,35,5 - Shortest path,2GB
11,34,5 - Shortest path,2GB
12,35,5 - Shortest path,2GB
13,34,5 - Shortest path,2GB
14,34,5 - Shortest path,2GB
15,34,5 - Shortest path,2GB
16,34,5 - Shortest path,2GB
1,44,5 - Shortest path,4GB
2,34,5 - Shortest path,4GB
3,34,5 - Shortest path,4GB
4,34,5 - Shortest path,4GB
5,33,5 - Shortest path,4GB
6,34,5 - Shortest path,4GB
7,34,5 - Shortest path,4GB
8,34,5 - Shortest path,4GB
9,35,5 - Shortest path,4GB
10,34,5 - Shortest path,4GB
11,33,5 - Shortest path,4GB
12,35,5 - Shortest path,4GB
13,34,5 - Shortest path,4GB
14,33,5 - Shortest path,4GB
15,34,5 - Shortest path,4GB
16,34,5 - Shortest path,4GB
1,44,5 - Shortest path,8GB
2,33,5 - Shortest path,8GB
3,35,5 - Shortest path,8GB
4,34,5 - Shortest path,8GB
5,33,5 - Shortest path,8GB
6,33,5 - Shortest path,8GB
7,34,5 - Shortest path,8GB
8,34,5 - Shortest path,8GB
9,34,5 - Shortest path,8GB
10,35,5 - Shortest path,8GB
11,34,5 - Shortest path,8GB
12,34,5 - Shortest path,8GB
13,33,5 - Shortest path,8GB
14,33,5 - Shortest path,8GB
15,33,5 - Shortest path,8GB
16,33,5 - Shortest path,8GB
