experiment_index,elapsed,label,experiment
1,45,6 - k Shortest paths,default
2,36,6 - k Shortest paths,default
3,36,6 - k Shortest paths,default
4,41,6 - k Shortest paths,default
5,36,6 - k Shortest paths,default
6,35,6 - k Shortest paths,default
7,35,6 - k Shortest paths,default
8,36,6 - k Shortest paths,default
9,38,6 - k Shortest paths,default
10,37,6 - k Shortest paths,default
11,38,6 - k Shortest paths,default
12,38,6 - k Shortest paths,default
13,38,6 - k Shortest paths,default
14,38,6 - k Shortest paths,default
15,38,6 - k Shortest paths,default
16,39,6 - k Shortest paths,default
1,37,6 - k Shortest paths,1GB
2,36,6 - k Shortest paths,1GB
3,36,6 - k Shortest paths,1GB
4,37,6 - k Shortest paths,1GB
5,36,6 - k Shortest paths,1GB
6,35,6 - k Shortest paths,1GB
7,36,6 - k Shortest paths,1GB
8,36,6 - k Shortest paths,1GB
9,38,6 - k Shortest paths,1GB
10,38,6 - k Shortest paths,1GB
11,37,6 - k Shortest paths,1GB
12,39,6 - k Shortest paths,1GB
13,38,6 - k Shortest paths,1GB
14,38,6 - k Shortest paths,1GB
15,37,6 - k Shortest paths,1GB
16,39,6 - k Shortest paths,1GB
1,37,6 - k Shortest paths,2GB
2,37,6 - k Shortest paths,2GB
3,36,6 - k Shortest paths,2GB
4,36,6 - k Shortest paths,2GB
5,36,6 - k Shortest paths,2GB
6,36,6 - k Shortest paths,2GB
7,38,6 - k Shortest paths,2GB
8,36,6 - k Shortest paths,2GB
9,38,6 - k Shortest paths,2GB
10,38,6 - k Shortest paths,2GB
11,37,6 - k Shortest paths,2GB
12,39,6 - k Shortest paths,2GB
13,38,6 - k Shortest paths,2GB
14,38,6 - k Shortest paths,2GB
15,37,6 - k Shortest paths,2GB
16,37,6 - k Shortest paths,2GB
1,36,6 - k Shortest paths,4GB
2,37,6 - k Shortest paths,4GB
3,36,6 - k Shortest paths,4GB
4,37,6 - k Shortest paths,4GB
5,37,6 - k Shortest paths,4GB
6,36,6 - k Shortest paths,4GB
7,35,6 - k Shortest paths,4GB
8,35,6 - k Shortest paths,4GB
9,38,6 - k Shortest paths,4GB
10,38,6 - k Shortest paths,4GB
11,37,6 - k Shortest paths,4GB
12,38,6 - k Shortest paths,4GB
13,38,6 - k Shortest paths,4GB
14,38,6 - k Shortest paths,4GB
15,37,6 - k Shortest paths,4GB
16,37,6 - k Shortest paths,4GB
1,37,6 - k Shortest paths,8GB
2,36,6 - k Shortest paths,8GB
3,36,6 - k Shortest paths,8GB
4,36,6 - k Shortest paths,8GB
5,36,6 - k Shortest paths,8GB
6,35,6 - k Shortest paths,8GB
7,36,6 - k Shortest paths,8GB
8,35,6 - k Shortest paths,8GB
9,38,6 - k Shortest paths,8GB
10,39,6 - k Shortest paths,8GB
11,39,6 - k Shortest paths,8GB
12,38,6 - k Shortest paths,8GB
13,38,6 - k Shortest paths,8GB
14,37,6 - k Shortest paths,8GB
15,39,6 - k Shortest paths,8GB
16,38,6 - k Shortest paths,8GB
