experiment_index,elapsed,label,experiment
1,86,8 - Recent messages by your friends,default
2,84,8 - Recent messages by your friends,default
3,83,8 - Recent messages by your friends,default
4,86,8 - Recent messages by your friends,default
5,71,8 - Recent messages by your friends,default
6,68,8 - Recent messages by your friends,default
7,68,8 - Recent messages by your friends,default
8,71,8 - Recent messages by your friends,default
9,73,8 - Recent messages by your friends,default
10,146,8 - Recent messages by your friends,default
11,72,8 - Recent messages by your friends,default
12,146,8 - Recent messages by your friends,default
13,86,8 - Recent messages by your friends,default
14,87,8 - Recent messages by your friends,default
15,87,8 - Recent messages by your friends,default
16,85,8 - Recent messages by your friends,default
1,82,8 - Recent messages by your friends,1GB
2,85,8 - Recent messages by your friends,1GB
3,87,8 - Recent messages by your friends,1GB
4,158,8 - Recent messages by your friends,1GB
5,156,8 - Recent messages by your friends,1GB
6,66,8 - Recent messages by your friends,1GB
7,66,8 - Recent messages by your friends,1GB
8,64,8 - Recent messages by your friends,1GB
9,71,8 - Recent messages by your friends,1GB
10,73,8 - Recent messages by your friends,1GB
11,71,8 - Recent messages by your friends,1GB
12,70,8 - Recent messages by your friends,1GB
13,84,8 - Recent messages by your friends,1GB
14,154,8 - Recent messages by your friends,1GB
15,84,8 - Recent messages by your friends,1GB
16,81,8 - Recent messages by your friends,1GB
1,83,8 - Recent messages by your friends,2GB
2,85,8 - Recent messages by your friends,2GB
3,160,8 - Recent messages by your friends,2GB
4,83,8 - Recent messages by your friends,2GB
5,149,8 - Recent messages by your friends,2GB
6,65,8 - Recent messages by your friends,2GB
7,69,8 - Recent messages by your friends,2GB
8,67,8 - Recent messages by your friends,2GB
9,71,8 - Recent messages by your friends,2GB
10,70,8 - Recent messages by your friends,2GB
11,69,8 - Recent messages by your friends,2GB
12,74,8 - Recent messages by your friends,2GB
13,88,8 - Recent messages by your friends,2GB
14,160,8 - Recent messages by your friends,2GB
15,86,8 - Recent messages by your friends,2GB
16,84,8 - Recent messages by your friends,2GB
1,85,8 - Recent messages by your friends,4GB
2,146,8 - Recent messages by your friends,4GB
3,156,8 - Recent messages by your friends,4GB
4,84,8 - Recent messages by your friends,4GB
5,68,8 - Recent messages by your friends,4GB
6,67,8 - Recent messages by your friends,4GB
7,155,8 - Recent messages by your friends,4GB
8,66,8 - Recent messages by your friends,4GB
9,72,8 - Recent messages by your friends,4GB
10,73,8 - Recent messages by your friends,4GB
11,71,8 - Recent messages by your friends,4GB
12,153,8 - Recent messages by your friends,4GB
13,85,8 - Recent messages by your friends,4GB
14,85,8 - Recent messages by your friends,4GB
15,84,8 - Recent messages by your friends,4GB
16,152,8 - Recent messages by your friends,4GB
1,86,8 - Recent messages by your friends,8GB
2,84,8 - Recent messages by your friends,8GB
3,84,8 - Recent messages by your friends,8GB
4,85,8 - Recent messages by your friends,8GB
5,68,8 - Recent messages by your friends,8GB
6,68,8 - Recent messages by your friends,8GB
7,67,8 - Recent messages by your friends,8GB
8,67,8 - Recent messages by your friends,8GB
9,70,8 - Recent messages by your friends,8GB
10,157,8 - Recent messages by your friends,8GB
11,70,8 - Recent messages by your friends,8GB
12,71,8 - Recent messages by your friends,8GB
13,84,8 - Recent messages by your friends,8GB
14,86,8 - Recent messages by your friends,8GB
15,86,8 - Recent messages by your friends,8GB
16,85,8 - Recent messages by your friends,8GB
