experiment_index,elapsed,label,experiment
1,323,9 - Friend recommendation,default
2,274,9 - Friend recommendation,default
3,272,9 - Friend recommendation,default
4,271,9 - Friend recommendation,default
5,3821,9 - Friend recommendation,default
6,3718,9 - Friend recommendation,default
7,3761,9 - Friend recommendation,default
8,3700,9 - Friend recommendation,default
9,2145,9 - Friend recommendation,default
10,2096,9 - Friend recommendation,default
11,2098,9 - Friend recommendation,default
12,2113,9 - Friend recommendation,default
13,3743,9 - Friend recommendation,default
14,3846,9 - Friend recommendation,default
15,3745,9 - Friend recommendation,default
16,3732,9 - Friend recommendation,default
1,314,9 - Friend recommendation,1GB
2,269,9 - Friend recommendation,1GB
3,259,9 - Friend recommendation,1GB
4,269,9 - Friend recommendation,1GB
5,3399,9 - Friend recommendation,1GB
6,3454,9 - Friend recommendation,1GB
7,3452,9 - Friend recommendation,1GB
8,3395,9 - Friend recommendation,1GB
9,1959,9 - Friend recommendation,1GB
10,1972,9 - Friend recommendation,1GB
11,1931,9 - Friend recommendation,1GB
12,2040,9 - Friend recommendation,1GB
13,3430,9 - Friend recommendation,1GB
14,3397,9 - Friend recommendation,1GB
15,3411,9 - Friend recommendation,1GB
16,3393,9 - Friend recommendation,1GB
1,311,9 - Friend recommendation,2GB
2,266,9 - Friend recommendation,2GB
3,263,9 - Friend recommendation,2GB
4,266,9 - Friend recommendation,2GB
5,3443,9 - Friend recommendation,2GB
6,3455,9 - Friend recommendation,2GB
7,3473,9 - Friend recommendation,2GB
8,3445,9 - Friend recommendation,2GB
9,1971,9 - Friend recommendation,2GB
10,1954,9 - Friend recommendation,2GB
11,1953,9 - Friend recommendation,2GB
12,1996,9 - Friend recommendation,2GB
13,3425,9 - Friend recommendation,2GB
14,3460,9 - Friend recommendation,2GB
15,3549,9 - Friend recommendation,2GB
16,3444,9 - Friend recommendation,2GB
1,311,9 - Friend recommendation,4GB
2,258,9 - Friend recommendation,4GB
3,258,9 - Friend recommendation,4GB
4,270,9 - Friend recommendation,4GB
5,3498,9 - Friend recommendation,4GB
6,3448,9 - Friend recommendation,4GB
7,3460,9 - Friend recommendation,4GB
8,3414,9 - Friend recommendation,4GB
9,1951,9 - Friend recommendation,4GB
10,1954,9 - Friend recommendation,4GB
11,1947,9 - Friend recommendation,4GB
12,1951,9 - Friend recommendation,4GB
13,3415,9 - Friend recommendation,4GB
14,3477,9 - Friend recommendation,4GB
15,3453,9 - Friend recommendation,4GB
16,3464,9 - Friend recommendation,4GB
1,314,9 - Friend recommendation,8GB
2,270,9 - Friend recommendation,8GB
3,270,9 - Friend recommendation,8GB
4,271,9 - Friend recommendation,8GB
5,3430,9 - Friend recommendation,8GB
6,3521,9 - Friend recommendation,8GB
7,3520,9 - Friend recommendation,8GB
8,3437,9 - Friend recommendation,8GB
9,1950,9 - Friend recommendation,8GB
10,1974,9 - Friend recommendation,8GB
11,1995,9 - Friend recommendation,8GB
12,2007,9 - Friend recommendation,8GB
13,3474,9 - Friend recommendation,8GB
14,3410,9 - Friend recommendation,8GB
15,3433,9 - Friend recommendation,8GB
16,3411,9 - Friend recommendation,8GB
