experiment_index,elapsed,label,experiment
1,238,10 - Replies of a message,default
2,82,10 - Replies of a message,default
3,82,10 - Replies of a message,default
4,84,10 - Replies of a message,default
5,85,10 - Replies of a message,default
6,83,10 - Replies of a message,default
7,81,10 - Replies of a message,default
8,84,10 - Replies of a message,default
9,86,10 - Replies of a message,default
10,81,10 - Replies of a message,default
11,82,10 - Replies of a message,default
12,81,10 - Replies of a message,default
13,153,10 - Replies of a message,default
14,80,10 - Replies of a message,default
15,80,10 - Replies of a message,default
16,82,10 - Replies of a message,default
1,194,10 - Replies of a message,1GB
2,75,10 - Replies of a message,1GB
3,71,10 - Replies of a message,1GB
4,70,10 - Replies of a message,1GB
5,70,10 - Replies of a message,1GB
6,72,10 - Replies of a message,1GB
7,69,10 - Replies of a message,1GB
8,71,10 - Replies of a message,1GB
9,73,10 - Replies of a message,1GB
10,157,10 - Replies of a message,1GB
11,69,10 - Replies of a message,1GB
12,70,10 - Replies of a message,1GB
13,70,10 - Replies of a message,1GB
14,71,10 - Replies of a message,1GB
15,70,10 - Replies of a message,1GB
16,70,10 - Replies of a message,1GB
1,195,10 - Replies of a message,2GB
2,73,10 - Replies of a message,2GB
3,159,10 - Replies of a message,2GB
4,73,10 - Replies of a message,2GB
5,73,10 - Replies of a message,2GB
6,70,10 - Replies of a message,2GB
7,71,10 - Replies of a message,2GB
8,71,10 - Replies of a message,2GB
9,71,10 - Replies of a message,2GB
10,69,10 - Replies of a message,2GB
11,73,10 - Replies of a message,2GB
12,69,10 - Replies of a message,2GB
13,72,10 - Replies of a message,2GB
14,70,10 - Replies of a message,2GB
15,73,10 - Replies of a message,2GB
16,71,10 - Replies of a message,2GB
1,195,10 - Replies of a message,4GB
2,72,10 - Replies of a message,4GB
3,73,10 - Replies of a message,4GB
4,73,10 - Replies of a message,4GB
5,160,10 - Replies of a message,4GB
6,156,10 - Replies of a message,4GB
7,71,10 - Replies of a message,4GB
8,73,10 - Replies of a message,4GB
9,70,10 - Replies of a message,4GB
10,71,10 - Replies of a message,4GB
11,72,10 - Replies of a message,4GB
12,71,10 - Replies of a message,4GB
13,72,10 - Replies of a message,4GB
14,69,10 - Replies of a message,4GB
15,70,10 - Replies of a message,4GB
16,157,10 - Replies of a message,4GB
1,190,10 - Replies of a message,8GB
2,74,10 - Replies of a message,8GB
3,71,10 - Replies of a message,8GB
4,78,10 - Replies of a message,8GB
5,153,10 - Replies of a message,8GB
6,72,10 - Replies of a message,8GB
7,69,10 - Replies of a message,8GB
8,72,10 - Replies of a message,8GB
9,71,10 - Replies of a message,8GB
10,71,10 - Replies of a message,8GB
11,71,10 - Replies of a message,8GB
12,77,10 - Replies of a message,8GB
13,74,10 - Replies of a message,8GB
14,74,10 - Replies of a message,8GB
15,72,10 - Replies of a message,8GB
16,74,10 - Replies of a message,8GB
