experiment_index,elapsed,label,experiment
1,983,4 - Friends and fof that have been to countries,default
2,284,4 - Friends and fof that have been to countries,default
3,314,4 - Friends and fof that have been to countries,default
4,290,4 - Friends and fof that have been to countries,default
5,307,4 - Friends and fof that have been to countries,default
6,310,4 - Friends and fof that have been to countries,default
7,306,4 - Friends and fof that have been to countries,default
8,303,4 - Friends and fof that have been to countries,default
9,316,4 - Friends and fof that have been to countries,default
10,314,4 - Friends and fof that have been to countries,default
11,312,4 - Friends and fof that have been to countries,default
12,341,4 - Friends and fof that have been to countries,default
13,312,4 - Friends and fof that have been to countries,default
14,312,4 - Friends and fof that have been to countries,default
15,338,4 - Friends and fof that have been to countries,default
16,309,4 - Friends and fof that have been to countries,default
1,11895,4 - Friends and fof that have been to countries,1GB
2,293,4 - Friends and fof that have been to countries,1GB
3,292,4 - Friends and fof that have been to countries,1GB
4,289,4 - Friends and fof that have been to countries,1GB
5,342,4 - Friends and fof that have been to countries,1GB
6,311,4 - Friends and fof that have been to countries,1GB
7,315,4 - Friends and fof that have been to countries,1GB
8,313,4 - Friends and fof that have been to countries,1GB
9,327,4 - Friends and fof that have been to countries,1GB
10,354,4 - Friends and fof that have been to countries,1GB
11,352,4 - Friends and fof that have been to countries,1GB
12,313,4 - Friends and fof that have been to countries,1GB
13,310,4 - Friends and fof that have been to countries,1GB
14,312,4 - Friends and fof that have been to countries,1GB
15,337,4 - Friends and fof that have been to countries,1GB
16,375,4 - Friends and fof that have been to countries,1GB
1,3085,4 - Friends and fof that have been to countries,2GB
2,313,4 - Friends and fof that have been to countries,2GB
3,286,4 - Friends and fof that have been to countries,2GB
4,288,4 - Friends and fof that have been to countries,2GB
5,345,4 - Friends and fof that have been to countries,2GB
6,316,4 - Friends and fof that have been to countries,2GB
7,305,4 - Friends and fof that have been to countries,2GB
8,306,4 - Friends and fof that have been to countries,2GB
9,349,4 - Friends and fof that have been to countries,2GB
10,317,4 - Friends and fof that have been to countries,2GB
11,316,4 - Friends and fof that have been to countries,2GB
12,356,4 - Friends and fof that have been to countries,2GB
13,338,4 - Friends and fof that have been to countries,2GB
14,314,4 - Friends and fof that have been to countries,2GB
15,309,4 - Friends and fof that have been to countries,2GB
16,316,4 - Friends and fof that have been to countries,2GB
1,1040,4 - Friends and fof that have been to countries,4GB
2,317,4 - Friends and fof that have been to countries,4GB
3,300,4 - Friends and fof that have been to countries,4GB
4,330,4 - Friends and fof that have been to countries,4GB
5,341,4 - Friends and fof that have been to countries,4GB
6,370,4 - Friends and fof that have been to countries,4GB
7,332,4 - Friends and fof that have been to countries,4GB
8,343,4 - Friends and fof that have been to countries,4GB
9,350,4 - Friends and fof that have been to countries,4GB
10,348,4 - Friends and fof that have been to countries,4GB
11,373,4 - Friends and fof that have been to countries,4GB
12,337,4 - Friends and fof that have been to countries,4GB
13,344,4 - Friends and fof that have been to countries,4GB
14,325,4 - Friends and fof that have been to countries,4GB
15,353,4 - Friends and fof that have been to countries,4GB
16,329,4 - Friends and fof that have been to countries,4GB
1,975,4 - Friends and fof that have been to countries,8GB
2,358,4 - Friends and fof that have been to countries,8GB
3,294,4 - Friends and fof that have been to countries,8GB
4,311,4 - Friends and fof that have been to countries,8GB
5,352,4 - Friends and fof that have been to countries,8GB
6,352,4 - Friends and fof that have been to countries,8GB
7,336,4 - Friends and fof that have been to countries,8GB
8,345,4 - Friends and fof that have been to countries,8GB
9,360,4 - Friends and fof that have been to countries,8GB
10,372,4 - Friends and fof that have been to countries,8GB
11,327,4 - Friends and fof that have been to countries,8GB
12,349,4 - Friends and fof that have been to countries,8GB
13,372,4 - Friends and fof that have been to countries,8GB
14,346,4 - Friends and fof that have been to countries,8GB
15,352,4 - Friends and fof that have been to countries,8GB
16,350,4 - Friends and fof that have been to countries,8GB
