experiment_index,elapsed,label,experiment
1,14,7 - Forum of a message,default
2,1,7 - Forum of a message,default
3,0,7 - Forum of a message,default
4,1,7 - Forum of a message,default
5,3,7 - Forum of a message,default
6,1,7 - Forum of a message,default
7,0,7 - Forum of a message,default
8,1,7 - Forum of a message,default
9,2,7 - Forum of a message,default
10,0,7 - Forum of a message,default
11,1,7 - Forum of a message,default
12,0,7 - Forum of a message,default
13,2,7 - Forum of a message,default
14,0,7 - Forum of a message,default
15,0,7 - Forum of a message,default
16,1,7 - Forum of a message,default
1,90,7 - Forum of a message,1GB
2,1,7 - Forum of a message,1GB
3,1,7 - Forum of a message,1GB
4,1,7 - Forum of a message,1GB
5,23,7 - Forum of a message,1GB
6,0,7 - Forum of a message,1GB
7,0,7 - Forum of a message,1GB
8,0,7 - Forum of a message,1GB
9,23,7 - Forum of a message,1GB
10,1,7 - Forum of a message,1GB
11,0,7 - Forum of a message,1GB
12,0,7 - Forum of a message,1GB
13,23,7 - Forum of a message,1GB
14,1,7 - Forum of a message,1GB
15,0,7 - Forum of a message,1GB
16,1,7 - Forum of a message,1GB
1,14,7 - Forum of a message,2GB
2,1,7 - Forum of a message,2GB
3,1,7 - Forum of a message,2GB
4,1,7 - Forum of a message,2GB
5,3,7 - Forum of a message,2GB
6,1,7 - Forum of a message,2GB
7,0,7 - Forum of a message,2GB
8,1,7 - Forum of a message,2GB
9,2,7 - Forum of a message,2GB
10,0,7 - Forum of a message,2GB
11,1,7 - Forum of a message,2GB
12,0,7 - Forum of a message,2GB
13,3,7 - Forum of a message,2GB
14,0,7 - Forum of a message,2GB
15,0,7 - Forum of a message,2GB
16,0,7 - Forum of a message,2GB
1,13,7 - Forum of a message,4GB
2,1,7 - Forum of a message,4GB
3,1,7 - Forum of a message,4GB
4,0,7 - Forum of a message,4GB
5,4,7 - Forum of a message,4GB
6,1,7 - Forum of a message,4GB
7,0,7 - Forum of a message,4GB
8,1,7 - Forum of a message,4GB
9,2,7 - Forum of a message,4GB
10,0,7 - Forum of a message,4GB
11,0,7 - Forum of a message,4GB
12,0,7 - Forum of a message,4GB
13,3,7 - Forum of a message,4GB
14,0,7 - Forum of a message,4GB
15,1,7 - Forum of a message,4GB
16,0,7 - Forum of a message,4GB
1,13,7 - Forum of a message,8GB
2,0,7 - Forum of a message,8GB
3,1,7 - Forum of a message,8GB
4,1,7 - Forum of a message,8GB
5,3,7 - Forum of a message,8GB
6,1,7 - Forum of a message,8GB
7,0,7 - Forum of a message,8GB
8,1,7 - Forum of a message,8GB
9,2,7 - Forum of a message,8GB
10,0,7 - Forum of a message,8GB
11,0,7 - Forum of a message,8GB
12,0,7 - Forum of a message,8GB
13,3,7 - Forum of a message,8GB
14,0,7 - Forum of a message,8GB
15,0,7 - Forum of a message,8GB
16,0,7 - Forum of a message,8GB
