experiment_index,elapsed,label,experiment
1,1104,1 - Transitive friends - step 3,default
2,972,1 - Transitive friends - step 3,default
3,977,1 - Transitive friends - step 3,default
4,979,1 - Transitive friends - step 3,default
5,379,1 - Transitive friends - step 3,default
6,359,1 - Transitive friends - step 3,default
7,358,1 - Transitive friends - step 3,default
8,355,1 - Transitive friends - step 3,default
9,294,1 - Transitive friends - step 3,default
10,284,1 - Transitive friends - step 3,default
11,285,1 - Transitive friends - step 3,default
12,284,1 - Transitive friends - step 3,default
13,120,1 - Transitive friends - step 3,default
14,105,1 - Transitive friends - step 3,default
15,105,1 - Transitive friends - step 3,default
16,105,1 - Transitive friends - step 3,default
1,1057,1 - Transitive friends - step 3,1GB
2,1018,1 - Transitive friends - step 3,1GB
3,1008,1 - Transitive friends - step 3,1GB
4,993,1 - Transitive friends - step 3,1GB
5,415,1 - Transitive friends - step 3,1GB
6,365,1 - Transitive friends - step 3,1GB
7,368,1 - Transitive friends - step 3,1GB
8,370,1 - Transitive friends - step 3,1GB
9,235,1 - Transitive friends - step 3,1GB
10,237,1 - Transitive friends - step 3,1GB
11,236,1 - Transitive friends - step 3,1GB
12,235,1 - Transitive friends - step 3,1GB
13,96,1 - Transitive friends - step 3,1GB
14,89,1 - Transitive friends - step 3,1GB
15,88,1 - Transitive friends - step 3,1GB
16,90,1 - Transitive friends - step 3,1GB
1,1056,1 - Transitive friends - step 3,2GB
2,1028,1 - Transitive friends - step 3,2GB
3,1014,1 - Transitive friends - step 3,2GB
4,1012,1 - Transitive friends - step 3,2GB
5,305,1 - Transitive friends - step 3,2GB
6,297,1 - Transitive friends - step 3,2GB
7,298,1 - Transitive friends - step 3,2GB
8,296,1 - Transitive friends - step 3,2GB
9,241,1 - Transitive friends - step 3,2GB
10,239,1 - Transitive friends - step 3,2GB
11,236,1 - Transitive friends - step 3,2GB
12,236,1 - Transitive friends - step 3,2GB
13,96,1 - Transitive friends - step 3,2GB
14,89,1 - Transitive friends - step 3,2GB
15,89,1 - Transitive friends - step 3,2GB
16,88,1 - Transitive friends - step 3,2GB
1,831,1 - Transitive friends - step 3,4GB
2,807,1 - Transitive friends - step 3,4GB
3,808,1 - Transitive friends - step 3,4GB
4,810,1 - Transitive friends - step 3,4GB
5,324,1 - Transitive friends - step 3,4GB
6,299,1 - Transitive friends - step 3,4GB
7,299,1 - Transitive friends - step 3,4GB
8,298,1 - Transitive friends - step 3,4GB
9,241,1 - Transitive friends - step 3,4GB
10,236,1 - Transitive friends - step 3,4GB
11,237,1 - Transitive friends - step 3,4GB
12,238,1 - Transitive friends - step 3,4GB
13,96,1 - Transitive friends - step 3,4GB
14,89,1 - Transitive friends - step 3,4GB
15,89,1 - Transitive friends - step 3,4GB
16,89,1 - Transitive friends - step 3,4GB
1,836,1 - Transitive friends - step 3,8GB
2,805,1 - Transitive friends - step 3,8GB
3,801,1 - Transitive friends - step 3,8GB
4,807,1 - Transitive friends - step 3,8GB
5,325,1 - Transitive friends - step 3,8GB
6,297,1 - Transitive friends - step 3,8GB
7,298,1 - Transitive friends - step 3,8GB
8,300,1 - Transitive friends - step 3,8GB
9,237,1 - Transitive friends - step 3,8GB
10,242,1 - Transitive friends - step 3,8GB
11,238,1 - Transitive friends - step 3,8GB
12,237,1 - Transitive friends - step 3,8GB
13,96,1 - Transitive friends - step 3,8GB
14,90,1 - Transitive friends - step 3,8GB
15,90,1 - Transitive friends - step 3,8GB
16,89,1 - Transitive friends - step 3,8GB
