experiment_index,elapsed,label,experiment
1,459,5 - Shortest path,default
2,452,5 - Shortest path,default
3,464,5 - Shortest path,default
4,451,5 - Shortest path,default
5,469,5 - Shortest path,default
6,471,5 - Shortest path,default
7,456,5 - Shortest path,default
8,479,5 - Shortest path,default
9,444,5 - Shortest path,default
10,464,5 - Shortest path,default
11,445,5 - Shortest path,default
12,465,5 - Shortest path,default
13,455,5 - Shortest path,default
14,477,5 - Shortest path,default
15,456,5 - Shortest path,default
16,465,5 - Shortest path,default
1,482,5 - Shortest path,1GB
2,450,5 - Shortest path,1GB
3,448,5 - Shortest path,1GB
4,450,5 - Shortest path,1GB
5,460,5 - Shortest path,1GB
6,458,5 - Shortest path,1GB
7,458,5 - Shortest path,1GB
8,458,5 - Shortest path,1GB
9,443,5 - Shortest path,1GB
10,446,5 - Shortest path,1GB
11,445,5 - Shortest path,1GB
12,444,5 - Shortest path,1GB
13,455,5 - Shortest path,1GB
14,455,5 - Shortest path,1GB
15,455,5 - Shortest path,1GB
16,454,5 - Shortest path,1GB
1,485,5 - Shortest path,2GB
2,449,5 - Shortest path,2GB
3,445,5 - Shortest path,2GB
4,447,5 - Shortest path,2GB
5,460,5 - Shortest path,2GB
6,459,5 - Shortest path,2GB
7,455,5 - Shortest path,2GB
8,456,5 - Shortest path,2GB
9,447,5 - Shortest path,2GB
10,446,5 - Shortest path,2GB
11,447,5 - Shortest path,2GB
12,445,5 - Shortest path,2GB
13,454,5 - Shortest path,2GB
14,453,5 - Shortest path,2GB
15,455,5 - Shortest path,2GB
16,452,5 - Shortest path,2GB
1,484,5 - Shortest path,4GB
2,447,5 - Shortest path,4GB
3,449,5 - Shortest path,4GB
4,449,5 - Shortest path,4GB
5,458,5 - Shortest path,4GB
6,459,5 - Shortest path,4GB
7,456,5 - Shortest path,4GB
8,457,5 - Shortest path,4GB
9,444,5 - Shortest path,4GB
10,445,5 - Shortest path,4GB
11,447,5 - Shortest path,4GB
12,442,5 - Shortest path,4GB
13,454,5 - Shortest path,4GB
14,454,5 - Shortest path,4GB
15,454,5 - Shortest path,4GB
16,453,5 - Shortest path,4GB
1,483,5 - Shortest path,8GB
2,444,5 - Shortest path,8GB
3,446,5 - Shortest path,8GB
4,443,5 - Shortest path,8GB
5,456,5 - Shortest path,8GB
6,454,5 - Shortest path,8GB
7,455,5 - Shortest path,8GB
8,454,5 - Shortest path,8GB
9,439,5 - Shortest path,8GB
10,442,5 - Shortest path,8GB
11,443,5 - Shortest path,8GB
12,443,5 - Shortest path,8GB
13,451,5 - Shortest path,8GB
14,453,5 - Shortest path,8GB
15,455,5 - Shortest path,8GB
16,452,5 - Shortest path,8GB
