experiment_index,elapsed,label,experiment
1,515,6 - k Shortest paths,default
2,521,6 - k Shortest paths,default
3,496,6 - k Shortest paths,default
4,506,6 - k Shortest paths,default
5,580,6 - k Shortest paths,default
6,592,6 - k Shortest paths,default
7,574,6 - k Shortest paths,default
8,589,6 - k Shortest paths,default
9,490,6 - k Shortest paths,default
10,519,6 - k Shortest paths,default
11,492,6 - k Shortest paths,default
12,499,6 - k Shortest paths,default
13,519,6 - k Shortest paths,default
14,524,6 - k Shortest paths,default
15,502,6 - k Shortest paths,default
16,521,6 - k Shortest paths,default
1,512,6 - k Shortest paths,1GB
2,506,6 - k Shortest paths,1GB
3,490,6 - k Shortest paths,1GB
4,489,6 - k Shortest paths,1GB
5,575,6 - k Shortest paths,1GB
6,574,6 - k Shortest paths,1GB
7,574,6 - k Shortest paths,1GB
8,572,6 - k Shortest paths,1GB
9,482,6 - k Shortest paths,1GB
10,503,6 - k Shortest paths,1GB
11,497,6 - k Shortest paths,1GB
12,479,6 - k Shortest paths,1GB
13,522,6 - k Shortest paths,1GB
14,501,6 - k Shortest paths,1GB
15,502,6 - k Shortest paths,1GB
16,505,6 - k Shortest paths,1GB
1,520,6 - k Shortest paths,2GB
2,513,6 - k Shortest paths,2GB
3,488,6 - k Shortest paths,2GB
4,493,6 - k Shortest paths,2GB
5,576,6 - k Shortest paths,2GB
6,573,6 - k Shortest paths,2GB
7,573,6 - k Shortest paths,2GB
8,576,6 - k Shortest paths,2GB
9,482,6 - k Shortest paths,2GB
10,499,6 - k Shortest paths,2GB
11,494,6 - k Shortest paths,2GB
12,480,6 - k Shortest paths,2GB
13,522,6 - k Shortest paths,2GB
14,503,6 - k Shortest paths,2GB
15,500,6 - k Shortest paths,2GB
16,503,6 - k Shortest paths,2GB
1,509,6 - k Shortest paths,4GB
2,505,6 - k Shortest paths,4GB
3,490,6 - k Shortest paths,4GB
4,490,6 - k Shortest paths,4GB
5,573,6 - k Shortest paths,4GB
6,573,6 - k Shortest paths,4GB
7,573,6 - k Shortest paths,4GB
8,570,6 - k Shortest paths,4GB
9,482,6 - k Shortest paths,4GB
10,496,6 - k Shortest paths,4GB
11,492,6 - k Shortest paths,4GB
12,476,6 - k Shortest paths,4GB
13,523,6 - k Shortest paths,4GB
14,502,6 - k Shortest paths,4GB
15,501,6 - k Shortest paths,4GB
16,502,6 - k Shortest paths,4GB
1,509,6 - k Shortest paths,8GB
2,507,6 - k Shortest paths,8GB
3,489,6 - k Shortest paths,8GB
4,490,6 - k Shortest paths,8GB
5,573,6 - k Shortest paths,8GB
6,573,6 - k Shortest paths,8GB
7,578,6 - k Shortest paths,8GB
8,571,6 - k Shortest paths,8GB
9,484,6 - k Shortest paths,8GB
10,494,6 - k Shortest paths,8GB
11,493,6 - k Shortest paths,8GB
12,479,6 - k Shortest paths,8GB
13,521,6 - k Shortest paths,8GB
14,499,6 - k Shortest paths,8GB
15,497,6 - k Shortest paths,8GB
16,502,6 - k Shortest paths,8GB
