experiment_index,elapsed,label,experiment
1,2428,9 - Friend recommendation,default
2,2442,9 - Friend recommendation,default
3,2477,9 - Friend recommendation,default
4,2399,9 - Friend recommendation,default
5,2228,9 - Friend recommendation,default
6,2252,9 - Friend recommendation,default
7,2287,9 - Friend recommendation,default
8,2311,9 - Friend recommendation,default
9,2198,9 - Friend recommendation,default
10,2327,9 - Friend recommendation,default
11,2273,9 - Friend recommendation,default
12,2262,9 - Friend recommendation,default
13,2941,9 - Friend recommendation,default
14,2964,9 - Friend recommendation,default
15,2947,9 - Friend recommendation,default
16,2946,9 - Friend recommendation,default
1,2360,9 - Friend recommendation,1GB
2,2058,9 - Friend recommendation,1GB
3,2063,9 - Friend recommendation,1GB
4,2046,9 - Friend recommendation,1GB
5,1996,9 - Friend recommendation,1GB
6,1958,9 - Friend recommendation,1GB
7,1954,9 - Friend recommendation,1GB
8,1941,9 - Friend recommendation,1GB
9,2050,9 - Friend recommendation,1GB
10,1956,9 - Friend recommendation,1GB
11,1956,9 - Friend recommendation,1GB
12,1950,9 - Friend recommendation,1GB
13,2642,9 - Friend recommendation,1GB
14,2257,9 - Friend recommendation,1GB
15,2263,9 - Friend recommendation,1GB
16,2269,9 - Friend recommendation,1GB
1,2460,9 - Friend recommendation,2GB
2,1995,9 - Friend recommendation,2GB
3,1996,9 - Friend recommendation,2GB
4,1976,9 - Friend recommendation,2GB
5,1933,9 - Friend recommendation,2GB
6,1885,9 - Friend recommendation,2GB
7,1900,9 - Friend recommendation,2GB
8,1891,9 - Friend recommendation,2GB
9,1984,9 - Friend recommendation,2GB
10,1883,9 - Friend recommendation,2GB
11,1895,9 - Friend recommendation,2GB
12,1896,9 - Friend recommendation,2GB
13,2577,9 - Friend recommendation,2GB
14,2186,9 - Friend recommendation,2GB
15,2199,9 - Friend recommendation,2GB
16,2201,9 - Friend recommendation,2GB
1,2292,9 - Friend recommendation,4GB
2,1910,9 - Friend recommendation,4GB
3,1896,9 - Friend recommendation,4GB
4,1907,9 - Friend recommendation,4GB
5,1841,9 - Friend recommendation,4GB
6,1787,9 - Friend recommendation,4GB
7,1791,9 - Friend recommendation,4GB
8,1790,9 - Friend recommendation,4GB
9,1842,9 - Friend recommendation,4GB
10,1803,9 - Friend recommendation,4GB
11,1779,9 - Friend recommendation,4GB
12,1796,9 - Friend recommendation,4GB
13,2164,9 - Friend recommendation,4GB
14,2069,9 - Friend recommendation,4GB
15,2062,9 - Friend recommendation,4GB
16,2075,9 - Friend recommendation,4GB
1,2285,9 - Friend recommendation,8GB
2,1902,9 - Friend recommendation,8GB
3,1916,9 - Friend recommendation,8GB
4,1902,9 - Friend recommendation,8GB
5,1848,9 - Friend recommendation,8GB
6,1796,9 - Friend recommendation,8GB
7,1791,9 - Friend recommendation,8GB
8,1789,9 - Friend recommendation,8GB
9,1835,9 - Friend recommendation,8GB
10,1793,9 - Friend recommendation,8GB
11,1800,9 - Friend recommendation,8GB
12,1779,9 - Friend recommendation,8GB
13,2155,9 - Friend recommendation,8GB
14,2067,9 - Friend recommendation,8GB
15,2071,9 - Friend recommendation,8GB
16,2074,9 - Friend recommendation,8GB
