timeStamp,elapsed,label
1733849002831,531,1 - Transitive friends - step 4
1733849003362,35,1 - Transitive friends - step 4
1733849003397,28,1 - Transitive friends - step 4
1733849003425,24,1 - Transitive friends - step 4
1733849003449,41,1 - Transitive friends - step 4
1733849003490,11,1 - Transitive friends - step 4
1733849003501,10,1 - Transitive friends - step 4
1733849003511,9,1 - Transitive friends - step 4
1733849003520,48,1 - Transitive friends - step 4
1733849003569,14,1 - Transitive friends - step 4
1733849003583,14,1 - Transitive friends - step 4
1733849003597,15,1 - Transitive friends - step 4
1733849003612,44,1 - Transitive friends - step 4
1733849003656,24,1 - Transitive friends - step 4
1733849003680,11,1 - Transitive friends - step 4
1733849003691,13,1 - Transitive friends - step 4
1733849003705,203,2 - Transitive friends - step 5
1733849003909,14,2 - Transitive friends - step 5
1733849003923,18,2 - Transitive friends - step 5
1733849003941,14,2 - Transitive friends - step 5
1733849003955,38,2 - Transitive friends - step 5
1733849003994,8,2 - Transitive friends - step 5
1733849004003,7,2 - Transitive friends - step 5
1733849004010,6,2 - Transitive friends - step 5
1733849004016,35,2 - Transitive friends - step 5
1733849004051,10,2 - Transitive friends - step 5
1733849004061,13,2 - Transitive friends - step 5
1733849004074,10,2 - Transitive friends - step 5
1733849004085,35,2 - Transitive friends - step 5
1733849004120,10,2 - Transitive friends - step 5
1733849004131,10,2 - Transitive friends - step 5
1733849004141,10,2 - Transitive friends - step 5
1733849004151,174,3 - Transitive friends - step 6
1733849004325,13,3 - Transitive friends - step 6
1733849004338,12,3 - Transitive friends - step 6
1733849004350,12,3 - Transitive friends - step 6
1733849004362,32,3 - Transitive friends - step 6
1733849004394,8,3 - Transitive friends - step 6
1733849004402,7,3 - Transitive friends - step 6
1733849004409,7,3 - Transitive friends - step 6
1733849004416,35,3 - Transitive friends - step 6
1733849004451,13,3 - Transitive friends - step 6
1733849004465,11,3 - Transitive friends - step 6
1733849004476,10,3 - Transitive friends - step 6
1733849004486,36,3 - Transitive friends - step 6
1733849004522,9,3 - Transitive friends - step 6
1733849004531,10,3 - Transitive friends - step 6
1733849004541,11,3 - Transitive friends - step 6
1733849004552,1019,4 - Friends and fof that have been to countries
